label,index,low,normal,winner,best_step,identity_best_step,selected_best_step,identity_final_mse,selected_final_mse,identity_updates,selected_updates,active_count,dark_active_count,reproduction_max_abs,grid_max_abs,seconds,ev_lower_active_count,ev_lower_all_count,ev_upper_active_count,ev_upper_all_count,ev_either_active_count,ev_either_all_count,gamma_lower_active_count,gamma_lower_all_count,gamma_upper_active_count,gamma_upper_all_count,gamma_either_active_count,gamma_either_all_count,raw_mse,raw_psnr,raw_ssim,selected_mse,selected_psnr,selected_ssim,oracle_mse,oracle_psnr,oracle_ssim,delta_psnr,delta_ssim
REFERENCE_ORACLE_ONLY,0,Train/Low/low00653.png,Train/Normal/normal00653.png,T022C_selected,500,500,500,0.10043022844443826,0.10040316161416765,500,500,4,4,0.0,0.0,11.683228449022863,0,0,0,0,0,0,4,4,0,0,4,4,0.17466439246154425,7.57795622399096,0.04125385681853205,0.13654016513367243,8.647395762419265,0.1495357655712035,0.10040316161416767,9.982526113945031,0.22095759911609125,1.3351303515257662,0.07142183354488776
REFERENCE_ORACLE_ONLY,1,Train/Low/low00651.png,Train/Normal/normal00651.png,T022C_selected,500,500,500,0.07822023885411558,0.07818874126856619,500,500,2,2,0.0,0.0,10.909775845997501,0,2,0,2,0,2,2,4,0,2,2,4,0.1337906600926594,8.735742035472692,0.17220725978708165,0.11233815307869528,9.494727205197371,0.27496684210719907,0.07818874126856618,11.068557783590219,0.4023453474739888,1.5738305783928475,0.12737850536678974
REFERENCE_ORACLE_ONLY,2,Train/Low/low00443.png,Train/Normal/normal00443.png,T022C_selected,138,189,138,0.09309494903828085,0.09309494903828085,500,500,4,1,0.0,0.0,11.702264013001695,0,0,3,3,3,3,4,4,0,0,4,4,0.12176763897407115,9.14468114678116,0.12113560284128243,0.11742866796677288,9.302258654402202,0.1151443618245308,0.0930949487851451,10.310738826518627,0.10805075885625308,1.0084801721164247,-0.007093602968277726
REFERENCE_ORACLE_ONLY,3,Train/Low/low00327.png,Train/Normal/normal00327.png,T022C_selected,183,243,183,0.037299029024171426,0.037299029024171426,500,500,4,1,0.0,0.0,11.650573441991583,0,0,3,3,3,3,4,4,0,0,4,4,0.07349759160254334,11.337268918118946,0.2121969556718744,0.08662071221943211,10.623782497022557,0.18295632877701934,0.037299028969567535,14.28302474321283,0.20363631077314143,3.6592422461902725,0.020679981996122088
REFERENCE_ORACLE_ONLY,4,Train/Low/low00601.png,Train/Normal/normal00601.png,T022C_selected,500,500,500,0.019365792965054005,0.019286832510369587,500,500,4,4,0.0,0.0,11.829665432975162,0,0,0,0,0,0,4,4,0,0,4,4,0.1484072663063235,8.285448346399846,0.20396672068024532,0.07099158992447129,11.487930972771379,0.4746608802946095,0.01928683251036958,17.147390909782807,0.5246550646105531,5.6594599370114285,0.0499941843159436
REFERENCE_ORACLE_ONLY,5,Train/Low/low00509.png,Train/Normal/normal00509.png,T022C_selected,500,500,500,0.02850197526312982,0.028461625330660427,500,500,4,4,0.0,0.0,11.765812672034372,0,0,0,0,0,0,4,4,0,0,4,4,0.08284290084283778,10.817447021738044,0.1678521290980604,0.048608032534556755,13.132919571331868,0.37186767810861915,0.028461625330660423,15.457403027063402,0.5103019787815123,2.3244834557315333,0.13843430067289314
REFERENCE_ORACLE_ONLY,6,Train/Low/low00001.png,Train/Normal/normal00001.png,T022C_selected,500,500,500,0.009741616022427504,0.009607130934346743,500,500,4,4,0.0,0.0,11.701774807006586,0,0,0,0,0,0,4,4,0,0,4,4,0.18312656407067338,7.3724865300837115,0.24158257140591555,0.053677025415376355,12.702115591855998,0.6217092930027628,0.009607130934346739,20.174062903145984,0.7021829881413949,7.471947311289986,0.08047369513863212
REFERENCE_ORACLE_ONLY,7,Train/Low/low00608.png,Train/Normal/normal00608.png,T022C_selected,500,500,500,0.028749034477444264,0.028586410685279666,500,500,4,4,0.0,0.0,11.948911549989134,0,0,0,0,0,0,4,4,0,0,4,4,0.231912416800536,6.34675998220175,0.17874480671031773,0.09513060978836564,10.21679719411416,0.512092957743312,0.028586410685279673,15.438403713099225,0.611172719264856,5.221606518985064,0.09907976152154396
REFERENCE_ORACLE_ONLY,8,Train/Low/low00351.png,Train/Normal/normal00351.png,T022C_selected,262,186,262,0.0542121124844796,0.05421211254834616,500,500,4,2,0.0,0.0,11.938711151015013,0,0,2,2,2,2,4,4,0,0,4,4,0.09025667072768169,10.44520690218302,0.13776310895795815,0.06840695191376557,11.648997604967168,0.12943735746069848,0.05421211221263317,12.65903671405615,0.10557008771999045,1.0100391090889822,-0.023867269740708033
REFERENCE_ORACLE_ONLY,9,Train/Low/low00261.png,Train/Normal/normal00261.png,T022C_selected,500,500,500,0.200079562849941,0.2000522469002982,500,500,4,4,0.0,0.0,11.737004991038702,0,0,0,0,0,0,4,4,0,0,4,4,0.25447347636353884,5.943574772535387,0.015362342311840835,0.23523200197680713,6.2850359528083395,0.044027387817278434,0.2000522469002982,6.988565664498383,0.10396796477280836,0.7035297116900434,0.05994057695552992
