index,low,original_psnr,original_ssim,guarded_psnr,guarded_ssim,delta_psnr,delta_ssim
0,Train/Low/low00387.png,8.306755162920348,0.2170153893011207,8.233410752535493,0.22300871957866145,-0.07334441038485551,0.005993330277540759
1,Train/Low/low00686.png,9.440539037691781,0.40931318931941,7.758333712715029,0.275559020833127,-1.6822053249767528,-0.13375416848628302
2,Train/Low/low00091.png,14.946588627244049,0.7444849698566539,11.705003272924712,0.6873866771640478,-3.241585354319337,-0.057098292692606134
3,Train/Low/low00350.png,8.947158602575945,0.1062572300649103,7.842643867776501,0.10650604576318291,-1.1045147347994435,0.00024881569827261973
4,Train/Low/low00128.png,7.885271307755145,0.4015664817041484,4.735720517204785,0.11569864836577276,-3.14955079055036,-0.2858678333383756
5,Train/Low/low00216.png,8.297062879446514,0.4282717715799439,6.590789031747059,0.3201025518691081,-1.706273847699455,-0.10816921971083582
6,Train/Low/low00064.png,9.725430533152316,0.4641291868767874,6.391128491052962,0.16069042620070004,-3.3343020420993543,-0.3034387606760873
7,Train/Low/low00370.png,7.773237220338536,0.10526868063734408,7.660880575370462,0.10564528954066979,-0.11235664496807374,0.0003766089033257064
8,Train/Low/low00098.png,11.406917222229696,0.34343404215236806,9.27024396122581,0.173354711710667,-2.136673261003885,-0.17007933044170107
9,Train/Low/low00609.png,11.773572345541332,0.5733708081448842,7.121131509804355,0.27025223241224333,-4.652440835736977,-0.30311857573264084
10,Train/Low/low00179.png,23.830660312267664,0.8045048458374862,21.06482468961385,0.819901914482374,-2.765835622653814,0.015397068644887879
11,Train/Low/low00089.png,9.845589355974989,0.19327723780715722,8.037486612132897,0.08646046229200868,-1.8081027438420918,-0.10681677551514854
12,Train/Low/low00027.png,4.932436747618753,0.11826264590841042,4.235171173012338,0.06475654056572587,-0.6972655746064147,-0.053506105342684546
13,Train/Low/low00140.png,6.7199949332597875,0.2601203025185881,5.4301821337269125,0.14067133970291618,-1.289812799532875,-0.11944896281567191
14,Train/Low/low00251.png,9.318289858012898,0.4233696880825434,6.528498008797783,0.19732830070854543,-2.7897918492151152,-0.22604138737399795
15,Train/Low/low00485.png,9.412160866324813,0.23852856442241463,7.674812116784404,0.06023895127203597,-1.7373487495404092,-0.17828961315037867
16,Train/Low/low00475.png,16.588895664230684,0.6463060861423227,10.764231393054501,0.16448351069725722,-5.824664271176182,-0.48182257544506546
17,Train/Low/low00067.png,9.433834305429572,0.5113785958133301,6.798210077102623,0.3460561437917055,-2.6356242283269493,-0.1653224520216246
18,Train/Low/low00368.png,8.119082738756319,0.11379743296716421,8.05558522301302,0.11329739439109496,-0.06349751574329865,-0.0005000385760692561
19,Train/Low/low00447.png,9.210408516573825,0.10148868141231529,8.725270204468858,0.11137516853976542,-0.48513831210496683,0.009886487127450133
20,Train/Low/low00538.png,9.481515953783473,0.405212981508025,6.127285854011778,0.12405091107395981,-3.354230099771695,-0.28116207043406516
21,Train/Low/low00257.png,10.716846250791106,0.4168267611385464,9.092291613081816,0.29392721049496373,-1.6245546377092897,-0.12289955064358266
22,Train/Low/low00269.png,9.018143803031712,0.08986575830693622,9.121025548452032,0.09806312670049758,0.10288174542031925,0.00819736839356136
23,Train/Low/low00371.png,13.347257808204997,0.22674402116590034,13.212367538522303,0.2268195053621945,-0.13489026968269435,7.548419629416214e-05
24,Train/Low/low00081.png,5.638590783306143,0.17617041150477178,4.956799175532862,0.12470013363536475,-0.6817916077732811,-0.05147027786940703
25,Train/Low/low00625.png,12.920598082948667,0.6511592688619476,9.638370227572459,0.5440016118190959,-3.282227855376208,-0.10715765704285174
26,Train/Low/low00640.png,6.450462085311852,0.27323702541313916,4.459344257088197,0.09419960081042494,-1.991117828223655,-0.1790374246027142
27,Train/Low/low00560.png,11.207969506842579,0.35689140655245727,10.47721051454186,0.325194203011591,-0.7307589923007196,-0.03169720354086625
28,Train/Low/low00038.png,7.192012379577979,0.1756564321841606,5.657447684766134,0.03358185814425609,-1.534564694811845,-0.1420745740399045
29,Train/Low/low00373.png,7.306109243089599,0.09084962678828769,7.533714552509149,0.09910613234809774,0.22760530941955004,0.008256505559810057
30,Train/Low/low00531.png,9.096374677234063,0.3397554703786966,7.000648182091494,0.09523046798293353,-2.0957264951425696,-0.24452500239576305
31,Train/Low/low00483.png,16.104545146728906,0.4585145147888982,12.760262440065196,0.11096662931496815,-3.3442827066637104,-0.34754788547393006
32,Train/Low/low00032.png,6.924394545050136,0.0712135422021707,6.547699595220208,0.02538183539038424,-0.3766949498299281,-0.04583170681178646
33,Train/Low/low00315.png,12.773788096033691,0.22536716986603186,11.826712730422928,0.25014007764281804,-0.9470753656107629,0.024772907776786174
34,Train/Low/low00632.png,7.580148339953795,0.33839732308516585,4.978883514082185,0.0918611865209579,-2.60126482587161,-0.24653613656420795
35,Train/Low/low00154.png,11.20889417009074,0.20992106628100118,9.282111047079209,0.05386332994234407,-1.926783123011532,-0.1560577363386571
36,Train/Low/low00512.png,10.784205718220745,0.31475551976674104,8.835278341833652,0.1780142093785514,-1.9489273763870933,-0.13674131038818965
