[autodl] run_id=20260917-010959-ttie-t057a-oracle
[autodl] started_at=2026-09-17T01:10:04+08:00
/home/wenchang/anaconda3/envs/python3.12-tk2-2.3/lib/python3.12/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
1/100 best_step=445 seconds=2.27
2/100 best_step=497 seconds=1.01
3/100 best_step=177 seconds=1.00
4/100 best_step=167 seconds=1.07
5/100 best_step=190 seconds=1.10
6/100 best_step=253 seconds=1.12
7/100 best_step=488 seconds=1.25
8/100 best_step=188 seconds=1.25
9/100 best_step=230 seconds=1.19
10/100 best_step=182 seconds=1.15
11/100 best_step=251 seconds=1.16
12/100 best_step=265 seconds=1.11
13/100 best_step=466 seconds=1.14
14/100 best_step=209 seconds=1.17
15/100 best_step=279 seconds=1.12
16/100 best_step=500 seconds=1.02
17/100 best_step=356 seconds=1.15
18/100 best_step=181 seconds=1.12
19/100 best_step=247 seconds=1.12
20/100 best_step=171 seconds=1.17
21/100 best_step=278 seconds=1.18
22/100 best_step=167 seconds=1.19
23/100 best_step=163 seconds=1.19
24/100 best_step=181 seconds=1.20
25/100 best_step=199 seconds=1.17
26/100 best_step=155 seconds=1.12
27/100 best_step=235 seconds=1.01
28/100 best_step=173 seconds=1.04
29/100 best_step=201 seconds=1.19
30/100 best_step=179 seconds=1.14
31/100 best_step=218 seconds=1.18
32/100 best_step=212 seconds=1.20
33/100 best_step=261 seconds=1.18
34/100 best_step=201 seconds=1.11
35/100 best_step=500 seconds=1.19
36/100 best_step=145 seconds=1.08
37/100 best_step=147 seconds=1.16
38/100 best_step=192 seconds=1.12
39/100 best_step=303 seconds=1.05
40/100 best_step=481 seconds=1.14
41/100 best_step=418 seconds=1.15
42/100 best_step=348 seconds=1.02
43/100 best_step=289 seconds=0.99
44/100 best_step=388 seconds=0.99
45/100 best_step=286 seconds=1.06
46/100 best_step=500 seconds=0.99
47/100 best_step=475 seconds=0.99
48/100 best_step=232 seconds=0.99
49/100 best_step=223 seconds=1.25
50/100 best_step=337 seconds=1.13
51/100 best_step=196 seconds=1.15
52/100 best_step=248 seconds=1.27
53/100 best_step=496 seconds=1.12
54/100 best_step=254 seconds=1.09
55/100 best_step=302 seconds=1.16
56/100 best_step=223 seconds=1.19
57/100 best_step=222 seconds=1.16
58/100 best_step=183 seconds=1.14
59/100 best_step=226 seconds=1.13
60/100 best_step=500 seconds=1.13
61/100 best_step=225 seconds=1.13
62/100 best_step=185 seconds=1.20
63/100 best_step=239 seconds=1.21
64/100 best_step=221 seconds=1.19
65/100 best_step=214 seconds=1.16
66/100 best_step=154 seconds=1.16
67/100 best_step=156 seconds=1.15
68/100 best_step=217 seconds=1.14
69/100 best_step=232 seconds=1.20
70/100 best_step=201 seconds=1.19
71/100 best_step=248 seconds=1.16
72/100 best_step=210 seconds=1.14
73/100 best_step=394 seconds=1.16
74/100 best_step=422 seconds=1.07
75/100 best_step=191 seconds=1.03
76/100 best_step=500 seconds=1.10
77/100 best_step=400 seconds=1.13
78/100 best_step=470 seconds=1.20
79/100 best_step=202 seconds=1.14
80/100 best_step=155 seconds=1.16
81/100 best_step=203 seconds=1.16
82/100 best_step=289 seconds=1.16
83/100 best_step=291 seconds=1.14
84/100 best_step=192 seconds=1.13
85/100 best_step=179 seconds=1.14
86/100 best_step=182 seconds=1.17
87/100 best_step=194 seconds=1.16
88/100 best_step=381 seconds=1.18
89/100 best_step=254 seconds=1.11
90/100 best_step=256 seconds=1.11
91/100 best_step=162 seconds=1.16
92/100 best_step=471 seconds=0.97
93/100 best_step=208 seconds=0.95
94/100 best_step=497 seconds=0.94
95/100 best_step=218 seconds=0.96
96/100 best_step=281 seconds=1.07
97/100 best_step=172 seconds=1.09
98/100 best_step=358 seconds=1.14
99/100 best_step=165 seconds=1.09
100/100 best_step=201 seconds=1.13
FROZEN100; no metrics computed
[autodl] finished_at=2026-09-17T01:12:06+08:00
[autodl] exit_code=0
