image_id,split,condition,view,d_dark,d_bright,input_clipping_fraction,zero_d_dark,zero_d_bright,type,active,zero_type,zero_active,region_true_type,region_margin,zero_region_margin
289415,source_calibration,clean,full,-0.027182918041944504,-0.16260716319084167,0.14043539762496948,0.008395448327064514,0.012148693203926086,dark,False,bright,False,,,
289415,source_calibration,clean,top_left,0.03614087030291557,-0.11862733960151672,0.3452841639518738,0.041738361120224,0.025165557861328125,dark,True,dark,True,,,
289415,source_calibration,clean,top_right,0.10000607371330261,-0.10705280303955078,0.1676167994737625,0.04372382164001465,0.004691615700721741,dark,True,dark,True,,,
289415,source_calibration,clean,bottom_left,-0.05302755534648895,-0.1856883466243744,0.019133541733026505,0.015189558267593384,-0.016566380858421326,dark,False,dark,False,,,
289415,source_calibration,clean,bottom_right,-0.05743352323770523,-0.2135189175605774,0.029707111418247223,-0.0007318407297134399,0.0035509467124938965,dark,False,bright,False,,,
292155,source_calibration,clean,full,-0.1302197277545929,-0.09388166666030884,0.0033108373172581196,-0.015828430652618408,0.02258901298046112,bright,False,bright,False,,,
292155,source_calibration,clean,top_left,-0.13620884716510773,-0.16842031478881836,2.934272379206959e-05,0.021589934825897217,0.017756283283233643,dark,False,dark,False,,,
292155,source_calibration,clean,top_right,-0.09284069389104843,-0.15836386382579803,0.0002738654147833586,-0.018330156803131104,-0.00318203866481781,dark,False,bright,False,,,
292155,source_calibration,clean,bottom_left,-0.1328093409538269,-0.022861778736114502,0.012069640681147575,-0.017390519380569458,0.03258606791496277,bright,False,bright,True,,,
292155,source_calibration,clean,bottom_right,-0.19019007682800293,-0.1080407202243805,0.0008705008076503873,-0.020086705684661865,0.016573622822761536,bright,False,bright,False,,,
295420,source_calibration,clean,full,-0.062330201268196106,-0.12105213105678558,0.015182414092123508,-0.001969382166862488,-0.005274370312690735,dark,False,dark,False,,,
295420,source_calibration,clean,top_left,-0.1654277890920639,-0.13438014686107635,0.0028462442569434643,-0.04821890592575073,0.003656551241874695,bright,False,bright,False,,,
295420,source_calibration,clean,top_right,-0.11978781223297119,-0.15312820672988892,0.056465182453393936,0.0007805228233337402,-0.025124654173851013,dark,False,dark,False,,,
295420,source_calibration,clean,bottom_left,0.025264959782361984,-0.08787017315626144,0.0003912363317795098,0.020916283130645752,-0.006912544369697571,dark,False,dark,False,,,
295420,source_calibration,clean,bottom_right,0.027676481753587723,-0.11342033743858337,0.0010269953636452556,0.02386307716369629,-0.011289060115814209,dark,True,dark,False,,,
297681,source_calibration,clean,full,-0.031983960419893265,-0.10219648480415344,0.01826668530702591,0.049035221338272095,-0.04308114945888519,dark,False,dark,True,,,
297681,source_calibration,clean,top_left,-0.11282363533973694,-0.06653028726577759,0.05322210490703583,0.009315043687820435,-0.017788514494895935,bright,False,dark,False,,,
297681,source_calibration,clean,top_right,0.1058708056807518,-0.09275171160697937,0.0026483051478862762,0.0540730357170105,-0.04807630181312561,dark,True,dark,True,,,
297681,source_calibration,clean,bottom_left,-0.06487616896629333,-0.17440173029899597,0.015607344917953014,0.03215603530406952,-0.028850510716438293,dark,False,dark,False,,,
297681,source_calibration,clean,bottom_right,-0.032823216170072556,-0.10064120590686798,0.0015889831120148301,0.056525468826293945,-0.006875887513160706,dark,False,dark,True,,,
301376,source_calibration,clean,full,-0.1369374394416809,-0.06657934188842773,0.04407986253499985,-0.030151233077049255,-0.016799196600914,bright,False,bright,False,,,
301376,source_calibration,clean,top_left,-0.14251984655857086,-0.06600432097911835,0.06740451604127884,-0.012062609195709229,-0.017869532108306885,bright,False,dark,False,,,
301376,source_calibration,clean,top_right,-0.09758243709802628,-0.027219001203775406,0.09615451842546463,-0.0033152997493743896,-0.030910998582839966,bright,False,dark,False,,,
301376,source_calibration,clean,bottom_left,0.027406416833400726,-0.10438644886016846,0.0014322916977107525,0.023311316967010498,0.005478665232658386,dark,False,dark,False,,,
301376,source_calibration,clean,bottom_right,-0.20773857831954956,-0.14265918731689453,0.01132812537252903,-0.032214462757110596,-0.0032374560832977295,bright,False,bright,False,,,
302760,source_calibration,clean,full,-0.14272668957710266,-0.11419515311717987,0.0005012715118937194,-0.01628996431827545,0.005652979016304016,bright,False,bright,False,,,
302760,source_calibration,clean,top_left,-0.109906405210495,-0.10358572006225586,0.0,-0.004643663763999939,-0.0018653124570846558,bright,False,bright,False,,,
302760,source_calibration,clean,top_right,-0.16543152928352356,-0.15710678696632385,8.802817319519818e-05,-0.0017847269773483276,0.005681827664375305,bright,False,bright,False,,,
302760,source_calibration,clean,bottom_left,-0.08639286458492279,-0.11111321300268173,0.00012715179764200002,-0.007364392280578613,-0.009411916136741638,dark,False,dark,False,,,
302760,source_calibration,clean,bottom_right,-0.16104650497436523,-0.08011677861213684,0.0017899061786010861,-0.015082553029060364,0.014713883399963379,bright,False,bright,False,,,
308793,source_calibration,clean,full,-0.053425781428813934,-0.1605607569217682,0.0010098787024617195,-0.057246774435043335,0.010502129793167114,dark,False,bright,False,,,
308793,source_calibration,clean,top_left,-0.11906552314758301,-0.1676829755306244,0.0008313771686516702,-0.026496335864067078,0.01382938027381897,dark,False,bright,False,,,
308793,source_calibration,clean,top_right,-0.09872473031282425,-0.20923487842082977,0.0032081378158181906,-0.030586495995521545,0.030265256762504578,dark,False,bright,False,,,
308793,source_calibration,clean,bottom_left,0.00979425385594368,-0.1128554716706276,0.0,-0.004671156406402588,0.013984635472297668,dark,False,bright,False,,,
308793,source_calibration,clean,bottom_right,-0.09296808391809464,-0.1526700258255005,0.0,-0.07702158391475677,-0.016491353511810303,dark,False,bright,False,,,
