index,low,snr_psnr,snr_ssim,ours_psnr,ours_ssim,delta_psnr,delta_ssim,seconds
0,Train/Low/low00653.png,23.23802914252788,0.7635223098430495,8.978702447816376,0.18213790006687194,14.259326694711502,0.5813844097761776,0.32645038299961016
1,Train/Low/low00651.png,24.496529925216144,0.8452036437119972,9.50158640420364,0.2768708677628083,14.994943521012503,0.568332775949189,0.0228288879734464
2,Train/Low/low00443.png,23.440875874104847,0.728285917182327,9.227410159022186,0.1119964721540214,14.21346571508266,0.6162894450283056,0.02149079303489998
3,Train/Low/low00327.png,25.66615415157503,0.8508701197156641,10.623782183992848,0.1829563232566069,15.04237196758218,0.6679137964590571,0.019557210966013372
4,Train/Low/low00601.png,20.871200680246112,0.8980091675433806,13.338461057021787,0.5443669783192189,7.532739623224325,0.3536421892241617,0.025322036002762616
5,Train/Low/low00509.png,23.034071248012186,0.8040044485926628,14.265527875399457,0.4619662264391112,8.76854337261273,0.3420382221535516,0.020905315992422402
6,Train/Low/low00001.png,23.14937540519849,0.9106296258770843,13.935608278884752,0.6878066989606665,9.213767126313739,0.2228229269164178,0.019803815986961126
7,Train/Low/low00608.png,21.4230550531051,0.844322735422993,11.622857206864232,0.5812030242359156,9.800197846240867,0.26311971118707733,0.019356161006726325
8,Train/Low/low00351.png,23.54762959806491,0.8109854909784494,12.34717216964201,0.12524331480640846,11.200457428422899,0.6857421761720409,0.019885995017830282
9,Train/Low/low00261.png,16.773236907978365,0.7278925349242945,6.50521417404855,0.06244871303291925,10.268022733929815,0.6654438218913753,0.019334642973262817
10,Train/Low/low00177.png,24.821580194038447,0.7882539257958504,9.453373381323873,0.25344007739758734,15.368206812714574,0.5348138483982631,0.019615090976003557
11,Train/Low/low00542.png,24.262678237042405,0.8638556019215718,9.816232056879374,0.48628929161817425,14.446446180163031,0.3775663103033976,0.019318666018079966
12,Train/Low/low00592.png,27.678544538636043,0.8764502200115903,11.368524227696506,0.5167086853258058,16.310020310939535,0.3597415346857845,0.01978057302767411
13,Train/Low/low00184.png,26.757478507457215,0.8725092462678429,10.48825519842225,0.35593299576616366,16.269223309034963,0.5165762505016792,0.019736049987841398
