label,index,low,winner,best_step,identity_best_step,selected_best_step,identity_updates,selected_updates,active_count,reproduction_max_abs,grid_max_abs,seconds,ev_lower_active_count,ev_lower_inactive_count,ev_lower_all_count,ev_upper_active_count,ev_upper_inactive_count,ev_upper_all_count,ev_either_active_count,ev_either_inactive_count,ev_either_all_count,gamma_lower_active_count,gamma_lower_inactive_count,gamma_lower_all_count,gamma_upper_active_count,gamma_upper_inactive_count,gamma_upper_all_count,gamma_either_active_count,gamma_either_inactive_count,gamma_either_all_count,raw_mse,raw_psnr,raw_ssim,selected_mse,selected_psnr,selected_ssim,oracle_mse,oracle_psnr,oracle_ssim,delta_psnr,delta_ssim
REFERENCE_ORACLE_ONLY,0,Train/Low/low00653.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,12.159702626988292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17466439246154425,7.57795622399096,0.04125385681853205,0.12651142722788872,8.978702447816376,0.18213790006687194,0.045323227248642996,13.436791736900073,0.3344494252336049,4.458089289083697,0.15231152516673294
REFERENCE_ORACLE_ONLY,1,Train/Low/low00651.png,T026A_selected,500,500,500,500,500,2,0.0,0.0,11.533736367011443,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0.1337906600926594,8.735742035472692,0.17220725978708165,0.11216086748069713,9.50158640420364,0.2768708677628083,0.0745823789358723,11.273637681690698,0.4148567855227027,1.7720512774870567,0.13798591775989444
REFERENCE_ORACLE_ONLY,2,Train/Low/low00443.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,11.850823872955516,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0.12176763897407115,9.14468114678116,0.12113560284128243,0.11947003312215103,9.227410159022186,0.1119964721540214,0.05993757661638385,12.223008203394599,0.09109207123636597,2.9955980443724126,-0.02090440091765544
REFERENCE_ORACLE_ONLY,3,Train/Low/low00327.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,11.710721536015626,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0.07349759160254334,11.337268918118946,0.2121969556718744,0.08662071846285874,10.623782183992844,0.1829563232566069,0.016322222662046734,17.87220701946412,0.21098407385280982,7.248424835471276,0.02802775059620291
REFERENCE_ORACLE_ONLY,4,Train/Low/low00601.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,11.690932083001826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1484072663063235,8.285448346399846,0.20396672068024532,0.04636111734382584,13.338461057021787,0.5443669783192189,0.002442533790594512,26.121594194342755,0.559892944876711,12.783133137320968,0.015525966557492166
REFERENCE_ORACLE_ONLY,5,Train/Low/low00509.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,11.670827220019419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08284290084283778,10.817447021738044,0.1678521290980604,0.03744960251006874,14.265527875399457,0.4619662264391112,0.007440786573857422,21.28381152272731,0.5970532663389718,7.018283647327852,0.1350870398998606
REFERENCE_ORACLE_ONLY,6,Train/Low/low00001.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,11.88606794399675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18312656407067338,7.3724865300837115,0.24158257140591555,0.04040537782165997,13.935608278884752,0.6878066989606665,0.0019359243397847259,27.13111619887172,0.7480658156520749,13.195507919986968,0.060259116691408376
REFERENCE_ORACLE_ONLY,7,Train/Low/low00608.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,11.548191971960478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231912416800536,6.34675998220175,0.17874480671031773,0.06881993836211057,11.622857206864232,0.5812030242359156,0.006140078628418515,22.118260673491193,0.6612116208271074,10.49540346662696,0.08000859659119175
REFERENCE_ORACLE_ONLY,8,Train/Low/low00351.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,11.51305463904282,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0.09025667072768169,10.44520690218302,0.13776310895795815,0.058248236722966217,12.34717216964201,0.12524331480640846,0.03658504002496909,14.366964655010623,0.09377219006819068,2.0197924853686136,-0.03147112473821778
REFERENCE_ORACLE_ONLY,9,Train/Low/low00261.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,11.386757044994738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25447347636353884,5.943574772535387,0.015362342311840835,0.22360349250530792,6.50521417404855,0.06244871303291925,0.13602376879138414,8.663851963871588,0.19784612631928084,2.158637789823038,0.1353974132863616
