[autodl] run_id=20260915-014747-ttie-t034a-oracle
[autodl] started_at=2026-09-15T01:47:51+08:00
/home/wenchang/anaconda3/envs/python3.12-tk2-2.3/lib/python3.12/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
REFERENCE_ORACLE_ONLY 28/100 winner=identity step=500 seconds=11.54
REFERENCE_ORACLE_ONLY 29/100 winner=T026A_selected step=500 seconds=11.35
REFERENCE_ORACLE_ONLY 30/100 winner=identity step=500 seconds=11.37
REFERENCE_ORACLE_ONLY 31/100 winner=T026A_selected step=500 seconds=11.35
REFERENCE_ORACLE_ONLY 32/100 winner=T026A_selected step=500 seconds=11.33
REFERENCE_ORACLE_ONLY 33/100 winner=T026A_selected step=500 seconds=11.05
REFERENCE_ORACLE_ONLY 34/100 winner=T026A_selected step=500 seconds=11.26
REFERENCE_ORACLE_ONLY 35/100 winner=T026A_selected step=500 seconds=11.49
REFERENCE_ORACLE_ONLY 36/100 winner=identity step=500 seconds=11.27
REFERENCE_ORACLE_ONLY 37/100 winner=identity step=500 seconds=11.40
REFERENCE_ORACLE_ONLY 38/100 winner=T026A_selected step=453 seconds=11.50
REFERENCE_ORACLE_ONLY 39/100 winner=T026A_selected step=500 seconds=11.58
REFERENCE_ORACLE_ONLY 40/100 winner=T026A_selected step=500 seconds=11.50
REFERENCE_ORACLE_ONLY 41/100 winner=T026A_selected step=500 seconds=11.43
REFERENCE_ORACLE_ONLY 42/100 winner=T026A_selected step=500 seconds=11.65
REFERENCE_ORACLE_ONLY 43/100 winner=T026A_selected step=500 seconds=11.16
REFERENCE_ORACLE_ONLY 44/100 winner=T026A_selected step=500 seconds=11.49
REFERENCE_ORACLE_ONLY 45/100 winner=T026A_selected step=500 seconds=11.57
REFERENCE_ORACLE_ONLY 46/100 winner=T026A_selected step=500 seconds=11.58
REFERENCE_ORACLE_ONLY 47/100 winner=T026A_selected step=500 seconds=11.57
REFERENCE_ORACLE_ONLY 48/100 winner=T026A_selected step=500 seconds=11.59
REFERENCE_ORACLE_ONLY 49/100 winner=identity step=500 seconds=11.25
REFERENCE_ORACLE_ONLY 50/100 winner=T026A_selected step=500 seconds=11.52
REFERENCE_ORACLE_ONLY 51/100 winner=identity step=500 seconds=11.56
REFERENCE_ORACLE_ONLY 52/100 winner=T026A_selected step=500 seconds=11.26
REFERENCE_ORACLE_ONLY 53/100 winner=T026A_selected step=500 seconds=11.49
REFERENCE_ORACLE_ONLY 54/100 winner=T026A_selected step=496 seconds=11.59
REFERENCE_ORACLE_ONLY 55/100 winner=T026A_selected step=500 seconds=11.24
REFERENCE_ORACLE_ONLY 56/100 winner=T026A_selected step=500 seconds=11.61
REFERENCE_ORACLE_ONLY 57/100 winner=T026A_selected step=500 seconds=11.47
REFERENCE_ORACLE_ONLY 58/100 winner=T026A_selected step=500 seconds=11.31
REFERENCE_ORACLE_ONLY 59/100 winner=T026A_selected step=500 seconds=11.53
REFERENCE_ORACLE_ONLY 60/100 winner=identity step=432 seconds=11.62
REFERENCE_ORACLE_ONLY 61/100 winner=T026A_selected step=500 seconds=11.57
REFERENCE_ORACLE_ONLY 62/100 winner=T026A_selected step=500 seconds=11.16
REFERENCE_ORACLE_ONLY 63/100 winner=T026A_selected step=500 seconds=11.31
REFERENCE_ORACLE_ONLY 64/100 winner=T026A_selected step=500 seconds=11.38
REFERENCE_ORACLE_ONLY 65/100 winner=T026A_selected step=495 seconds=11.47
REFERENCE_ORACLE_ONLY 66/100 winner=T026A_selected step=500 seconds=11.56
REFERENCE_ORACLE_ONLY 67/100 winner=identity step=500 seconds=11.58
REFERENCE_ORACLE_ONLY 68/100 winner=T026A_selected step=500 seconds=11.59
REFERENCE_ORACLE_ONLY 69/100 winner=T026A_selected step=500 seconds=11.47
REFERENCE_ORACLE_ONLY 70/100 winner=T026A_selected step=500 seconds=11.58
REFERENCE_ORACLE_ONLY 71/100 winner=T026A_selected step=450 seconds=11.56
REFERENCE_ORACLE_ONLY 72/100 winner=identity step=500 seconds=11.57
REFERENCE_ORACLE_ONLY 73/100 winner=T026A_selected step=500 seconds=11.57
REFERENCE_ORACLE_ONLY 74/100 winner=identity step=500 seconds=11.35
REFERENCE_ORACLE_ONLY 75/100 winner=T026A_selected step=309 seconds=11.27
REFERENCE_ORACLE_ONLY 76/100 winner=identity step=443 seconds=11.59
REFERENCE_ORACLE_ONLY 77/100 winner=T026A_selected step=500 seconds=11.58
REFERENCE_ORACLE_ONLY 78/100 winner=T026A_selected step=500 seconds=11.66
REFERENCE_ORACLE_ONLY 79/100 winner=T026A_selected step=457 seconds=11.51
REFERENCE_ORACLE_ONLY 80/100 winner=T026A_selected step=500 seconds=11.61
REFERENCE_ORACLE_ONLY 81/100 winner=identity step=500 seconds=11.57
REFERENCE_ORACLE_ONLY 82/100 winner=T026A_selected step=500 seconds=11.60
REFERENCE_ORACLE_ONLY 83/100 winner=T026A_selected step=500 seconds=11.45
REFERENCE_ORACLE_ONLY 84/100 winner=T026A_selected step=500 seconds=11.09
REFERENCE_ORACLE_ONLY 85/100 winner=T026A_selected step=500 seconds=11.56
REFERENCE_ORACLE_ONLY 86/100 winner=T026A_selected step=500 seconds=11.58
REFERENCE_ORACLE_ONLY 87/100 winner=identity step=500 seconds=11.32
REFERENCE_ORACLE_ONLY 88/100 winner=T026A_selected step=500 seconds=11.56
REFERENCE_ORACLE_ONLY 89/100 winner=T026A_selected step=482 seconds=11.57
REFERENCE_ORACLE_ONLY 90/100 winner=T026A_selected step=500 seconds=11.64
REFERENCE_ORACLE_ONLY 91/100 winner=identity step=500 seconds=11.57
REFERENCE_ORACLE_ONLY 92/100 winner=T026A_selected step=491 seconds=11.57
REFERENCE_ORACLE_ONLY 93/100 winner=T026A_selected step=500 seconds=11.28
REFERENCE_ORACLE_ONLY 94/100 winner=T026A_selected step=500 seconds=11.54
REFERENCE_ORACLE_ONLY 95/100 winner=T026A_selected step=500 seconds=11.56
REFERENCE_ORACLE_ONLY 96/100 winner=T026A_selected step=500 seconds=11.86
REFERENCE_ORACLE_ONLY 97/100 winner=T026A_selected step=500 seconds=11.57
REFERENCE_ORACLE_ONLY 98/100 winner=identity step=500 seconds=11.61
REFERENCE_ORACLE_ONLY 99/100 winner=T026A_selected step=500 seconds=11.55
REFERENCE_ORACLE_ONLY 100/100 winner=T026A_selected step=500 seconds=11.56
FROZEN100oracleoutputs/200histories; PSNR/SSIM not yet computed
substantial chromatic action headroom {'count': 100, 'mean': 2.447957702532162, 'median': 1.9091729772217718, 'min': 0.005025533989977404, 'max': 9.701675106358117, 'p05': 0.03471642279909837, 'p95': 6.218643895231953}
[autodl] finished_at=2026-09-15T02:07:51+08:00
[autodl] exit_code=0
