[autodl] run_id=20260915-014747-ttie-t034a-oracle
[autodl] started_at=2026-09-15T01:47:51+08:00
/home/wenchang/anaconda3/envs/python3.12-tk2-2.3/lib/python3.12/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
REFERENCE_ORACLE_ONLY 1/100 winner=T026A_selected step=500 seconds=12.43
REFERENCE_ORACLE_ONLY 2/100 winner=T026A_selected step=500 seconds=11.39
REFERENCE_ORACLE_ONLY 3/100 winner=T026A_selected step=500 seconds=11.41
REFERENCE_ORACLE_ONLY 4/100 winner=identity step=500 seconds=11.26
REFERENCE_ORACLE_ONLY 5/100 winner=T026A_selected step=500 seconds=10.98
REFERENCE_ORACLE_ONLY 6/100 winner=T026A_selected step=500 seconds=11.53
REFERENCE_ORACLE_ONLY 7/100 winner=T026A_selected step=500 seconds=11.50
REFERENCE_ORACLE_ONLY 8/100 winner=T026A_selected step=500 seconds=11.49
REFERENCE_ORACLE_ONLY 9/100 winner=T026A_selected step=500 seconds=11.84
REFERENCE_ORACLE_ONLY 10/100 winner=T026A_selected step=500 seconds=11.16
REFERENCE_ORACLE_ONLY 11/100 winner=T026A_selected step=500 seconds=11.21
REFERENCE_ORACLE_ONLY 12/100 winner=T026A_selected step=500 seconds=11.64
REFERENCE_ORACLE_ONLY 13/100 winner=T026A_selected step=440 seconds=11.54
REFERENCE_ORACLE_ONLY 14/100 winner=T026A_selected step=500 seconds=11.55
REFERENCE_ORACLE_ONLY 15/100 winner=T026A_selected step=500 seconds=11.35
REFERENCE_ORACLE_ONLY 16/100 winner=T026A_selected step=500 seconds=11.50
REFERENCE_ORACLE_ONLY 17/100 winner=T026A_selected step=500 seconds=11.53
REFERENCE_ORACLE_ONLY 18/100 winner=identity step=500 seconds=11.57
REFERENCE_ORACLE_ONLY 19/100 winner=T026A_selected step=495 seconds=11.57
REFERENCE_ORACLE_ONLY 20/100 winner=T026A_selected step=500 seconds=11.58
REFERENCE_ORACLE_ONLY 21/100 winner=T026A_selected step=500 seconds=10.83
REFERENCE_ORACLE_ONLY 22/100 winner=T026A_selected step=500 seconds=11.41
REFERENCE_ORACLE_ONLY 23/100 winner=T026A_selected step=500 seconds=11.57
REFERENCE_ORACLE_ONLY 24/100 winner=T026A_selected step=500 seconds=11.30
REFERENCE_ORACLE_ONLY 25/100 winner=T026A_selected step=500 seconds=11.66
REFERENCE_ORACLE_ONLY 26/100 winner=T026A_selected step=500 seconds=11.76
REFERENCE_ORACLE_ONLY 27/100 winner=T026A_selected step=492 seconds=11.55
