index,low,retinex_psnr,retinex_ssim,ours_psnr,ours_ssim,delta_psnr,delta_ssim,seconds
0,Train/Low/low00653.png,22.22969312553973,0.7516726524472825,8.978702447816376,0.18213790006687194,13.250990677723353,0.5695347523804106,1.0072239399887621
1,Train/Low/low00651.png,24.992940666796308,0.8383123242639353,9.50158640420364,0.2768708677628083,15.491354262592667,0.561441456501127,0.06373627105494961
2,Train/Low/low00443.png,21.40112398326393,0.6693472865688959,9.227410159022186,0.1119964721540214,12.173713824241743,0.5573508144148744,0.05935593700269237
3,Train/Low/low00327.png,25.98819033143259,0.8256472735725796,10.623782183992848,0.1829563232566069,15.364408147439743,0.6426909503159727,0.058847162988968194
4,Train/Low/low00601.png,26.753813473363202,0.9073581675621605,13.338461057021787,0.5443669783192189,13.415352416341415,0.3629911892429416,0.06030213902704418
5,Train/Low/low00509.png,24.288736599073154,0.7742620754584429,14.265527875399457,0.4619662264391112,10.023208723673697,0.3122958490193317,0.06122438400052488
6,Train/Low/low00001.png,22.028858754635017,0.878051059388401,13.935608278884752,0.6878066989606665,8.093250475750265,0.19024436042773452,0.06066563900094479
7,Train/Low/low00608.png,19.518779577860755,0.8316216687960888,11.622857206864232,0.5812030242359156,7.895922370996523,0.25041864456017315,0.06038165296195075
8,Train/Low/low00351.png,23.921237312334046,0.7549607994675308,12.34717216964201,0.12524331480640846,11.574065142692037,0.6297174846611223,0.058867888001259416
9,Train/Low/low00261.png,13.074423832150455,0.601409385251722,6.50521417404855,0.06244871303291925,6.569209658101904,0.5389606722188028,0.05885673098964617
10,Train/Low/low00177.png,20.573529563172993,0.7146010137007833,9.453373381323873,0.25344007739758734,11.12015618184912,0.461160936303196,0.060598275042138994
11,Train/Low/low00542.png,22.51223619545659,0.8584083958279445,9.816232056879374,0.48628929161817425,12.696004138577218,0.37211910420977024,0.05925272998865694
12,Train/Low/low00592.png,22.951024763363602,0.8495071523348506,11.368524227696506,0.5167086853258058,11.582500535667096,0.3327984670090448,0.05922075500711799
13,Train/Low/low00184.png,24.930525915081724,0.8492218999375206,10.48825519842225,0.35593299576616366,14.442270716659474,0.49328890417135696,0.05921657005092129
14,Train/Low/low00080.png,22.52611871112049,0.9221519963871742,10.808909735950651,0.6352973303924846,11.717208975169838,0.28685466599468956,0.059708015993237495
15,Train/Low/low00501.png,27.74366797349878,0.8746065356207215,13.389301164411027,0.6169238958427573,14.354366809087754,0.25768263977796424,0.05923619499662891
16,Train/Low/low00133.png,16.4790246721494,0.7053700584882137,6.189378497847891,0.11536151130543092,10.28964617430151,0.5900085471827827,0.059219917049631476
17,Train/Low/low00455.png,20.99240317681837,0.6835307096540691,9.727732525686637,0.11956665710279603,11.264670651131734,0.5639640525512731,0.059195251029450446
18,Train/Low/low00206.png,22.747196226516557,0.8691543348941522,18.703869367355377,0.7460552253736397,4.04332685916118,0.1230991095205125,0.05921797204064205
