tau,mean_psnr,mean_delta_psnr,median_delta_psnr,regressions_t026,worst_delta_t026,mean_delta_ssim,eligible
0.9999998061866262,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.9999998080842342,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.9999998127184405,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.9999998149898663,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.9999998161655329,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.9999998167028659,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.9999998666722665,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.9999998707040365,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.9999999277619391,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.9999999306217203,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.9999999312047723,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.9999999324697337,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.9999999334202865,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.9999999335980161,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.9999999346301364,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.9999999351414218,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.9999999351894051,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.99999993584147,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.9999999381459955,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.9999999382766076,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.9999999397553017,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
1.0,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
1.0000001204303313,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
1.0000001833701715,7.670752485720031,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
1.0380742922394908,7.6721837883657535,-3.557856348646946,-3.2134990383363147,81,-11.630579820933118,-0.19750838147029015,False
1.041997285466232,7.674419402732688,-3.5556207342800104,-3.2134990383363147,81,-11.630579820933118,-0.1974819609143358,False
1.0460754547664894,7.6755959934910285,-3.5544441435216707,-3.2134990383363147,81,-11.630579820933118,-0.19732198232429046,False
1.0499796257452212,7.676788158635157,-3.553251978377543,-3.2134990383363147,81,-11.630579820933118,-0.19716269298032238,False
1.0533367410440049,7.67854106909879,-3.5514990679139093,-3.2134990383363147,81,-11.630579820933118,-0.19713883025207202,False
1.0593311342072016,7.679449378809266,-3.550590758203435,-3.2134990383363147,81,-11.630579820933118,-0.19713431183683472,False
1.0626762628270228,7.68084383866337,-3.54919629834933,-3.2134990383363147,81,-11.630579820933118,-0.1971277016524793,False
1.0637400216829116,7.683206325400407,-3.5468338116122924,-3.2134990383363147,81,-11.630579820933118,-0.19712588892975194,False
1.0651049676787558,7.684420815123334,-3.5456193218893657,-3.2134990383363147,81,-11.630579820933118,-0.19712739553155756,False
1.0662283725189545,7.688370925624392,-3.541669211388308,-3.2134990383363147,81,-11.630579820933118,-0.19712217172646443,False
1.0678767701414917,7.692145026031703,-3.537895110980997,-3.2134990383363147,81,-11.630579820933118,-0.19712032820054404,False
1.068639699611499,7.698805986567697,-3.5312341504450018,-3.2134990383363147,81,-11.630579820933118,-0.19695099538256403,False
1.069174907514748,7.703104260344572,-3.5269358766681274,-3.2134990383363147,81,-11.630579820933118,-0.19696474117393264,False
1.0706126893318602,7.704045761391163,-3.5259943756215364,-3.2134990383363147,81,-11.630579820933118,-0.1969604377011767,False
1.0710397393722866,7.70494193994865,-3.5250981970640503,-3.2134990383363147,81,-11.630579820933118,-0.19695889798840557,False
1.071904683700487,7.706348871847998,-3.5236912651647017,-3.2134990383363147,81,-11.630579820933118,-0.19696920484914318,False
1.072692521890263,7.707619432856457,-3.522420704156243,-3.2134990383363147,81,-11.630579820933118,-0.19699572386587666,False
1.07298578805293,7.708863295621267,-3.521176841391433,-3.2134990383363147,81,-11.630579820933118,-0.19701789141036272,False
1.07355184223636,7.709868613230429,-3.5201715237822695,-3.2134990383363147,81,-11.630579820933118,-0.19703528382846205,False
1.0737158113325125,7.719581049115322,-3.5104590878973774,-2.990420802258563,81,-11.630579820933118,-0.1966287724878674,False
1.0746640855158098,7.7207322842310875,-3.509307852781612,-2.990420802258563,81,-11.630579820933118,-0.19667058961782918,False
1.07488738672915,7.721503648991315,-3.508536488021384,-2.990420802258563,81,-11.630579820933118,-0.19667828140214674,False
1.075351968721672,7.722462234635343,-3.5075779023773572,-2.990420802258563,81,-11.630579820933118,-0.19671173505961853,False
1.0754299470040556,7.723683614626367,-3.506356522386333,-2.990420802258563,81,-11.630579820933118,-0.19675386712959486,False
1.0754774743170898,7.724355989212808,-3.505684147799892,-2.990420802258563,81,-11.630579820933118,-0.19676955479953726,False
1.077700561423612,7.725143823250985,-3.504896313761715,-2.990420802258563,81,-11.630579820933118,-0.19678081493000743,False
1.0777960723513267,7.726625825565371,-3.503414311447328,-2.990420802258563,81,-11.630579820933118,-0.19677607296534938,False
1.078650757985115,7.728412694097484,-3.5016274429152157,-2.990420802258563,81,-11.630579820933118,-0.19658902050986574,False
1.0790639624139466,7.729539345011486,-3.5005007920012132,-2.990420802258563,81,-11.630579820933118,-0.19657871972279076,False
1.0799103218567563,7.73068141550649,-3.4993587215062103,-2.990420802258563,81,-11.630579820933118,-0.19642904969535532,False
1.0828903377703358,7.732193941677934,-3.497846195334765,-2.990420802258563,81,-11.630579820933118,-0.19644434998390434,False
1.0841906524773792,7.73325224501688,-3.4967878919958197,-2.990420802258563,80,-11.630579820933118,-0.19644575045538634,False
1.0843421697525382,7.734356823152301,-3.4956833138603987,-2.990420802258563,80,-11.630579820933118,-0.19644868803502735,False
1.084432183866427,7.735448668219467,-3.494591468793233,-2.990420802258563,80,-11.630579820933118,-0.19645554054245695,False
1.0845637320998098,7.736348342083963,-3.4936917949287367,-2.990420802258563,80,-11.630579820933118,-0.19645389172782488,False
1.0851793737556756,7.738726767182228,-3.4913133698304715,-2.990420802258563,80,-11.630579820933118,-0.19643040494750624,False
1.0937864399550288,7.741437768752219,-3.4886023682604805,-2.990420802258563,80,-11.630579820933118,-0.19606514873700412,False
1.094775932922649,7.742625435538545,-3.487414701474155,-2.990420802258563,80,-11.630579820933118,-0.1960781325574721,False
1.0948602857804912,7.743894734210109,-3.4861454028025913,-2.990420802258563,80,-11.630579820933118,-0.1959095101563031,False
1.095662236898926,7.746716987498678,-3.483323149514021,-2.990420802258563,80,-11.348354492076155,-0.19555678720552208,False
1.0958069100537824,7.747920529804569,-3.4821196072081313,-2.990420802258563,80,-11.348354492076155,-0.19556397963083594,False
1.0966650646903175,7.748876821713908,-3.481163315298792,-2.990420802258563,80,-11.348354492076155,-0.19546865175440956,False
1.0986888592570223,7.750552140007524,-3.479487997005177,-2.990420802258563,80,-11.348354492076155,-0.1952228878044864,False
1.1002577304581314,7.753179973889754,-3.4768601631229448,-2.990420802258563,80,-11.348354492076155,-0.1948822281333902,False
1.1005197745545252,7.756087780355467,-3.4739523566572323,-2.990420802258563,80,-11.348354492076155,-0.19451195113614633,False
1.101247307328859,7.757811547835961,-3.472228589176739,-2.990420802258563,80,-11.348354492076155,-0.19427720453858682,False
1.1028845337871684,7.759431220211201,-3.470608916801499,-2.990420802258563,80,-11.348354492076155,-0.19404409859547783,False
1.1033262933946038,7.761819586712957,-3.4682205502997423,-2.990420802258563,80,-11.348354492076155,-0.19372500361628386,False
1.1034812624260935,7.763095561221834,-3.466944575790866,-2.990420802258563,80,-11.348354492076155,-0.19355697729823987,False
1.1045219805346969,7.764399007859975,-3.465641129152725,-2.990420802258563,80,-11.348354492076155,-0.19336125656424832,False
1.1047410192646914,7.766120721701453,-3.463919415311247,-2.990420802258563,80,-11.348354492076155,-0.1931312838897729,False
1.1053016936089588,7.768533488814565,-3.4615066481981343,-2.990420802258563,80,-11.348354492076155,-0.19289647763040108,False
1.1056920031333979,7.770205464862184,-3.4598346721505155,-2.990420802258563,80,-11.348354492076155,-0.19266035399317832,False
1.108010655573975,7.772011602615045,-3.4580285343976556,-2.990420802258563,80,-11.348354492076155,-0.19248050905289016,False
1.1090909528552775,7.77386472467575,-3.4561754123369495,-2.990420802258563,80,-11.348354492076155,-0.1924588863058433,False
1.1095314896116049,7.775513522587328,-3.4545266144253723,-2.990420802258563,80,-11.348354492076155,-0.19222166701131832,False
1.1102029360320393,7.776614173933317,-3.453425963079383,-2.990420802258563,80,-11.348354492076155,-0.19206945789393795,False
1.110374297246504,7.778189848640044,-3.4518502883726563,-2.990420802258563,80,-11.348354492076155,-0.19186039861022114,False
1.1110604920532277,7.779325940174387,-3.450714196838313,-2.990420802258563,80,-11.348354492076155,-0.19168673908731843,False
1.1113214898360795,7.7811950673226296,-3.4488450696900697,-2.990420802258563,80,-11.348354492076155,-0.1914194925980846,False
1.1114068758788678,7.782921457587481,-3.447118679425218,-2.990420802258563,80,-11.348354492076155,-0.19116972199672375,False
1.1135627764571674,7.7844552246933505,-3.445584912319349,-2.990420802258563,80,-11.348354492076155,-0.19103181955040255,False
1.1140108212217121,7.785612753343263,-3.444427383669437,-2.990420802258563,80,-11.348354492076155,-0.19086755721671814,False
1.1144283001369077,7.7875758989550095,-3.4424642380576898,-2.990420802258563,80,-11.348354492076155,-0.19063310068298298,False
1.114461958538404,7.789620940727483,-3.4404191962852173,-2.990420802258563,80,-11.348354492076155,-0.19040809081988244,False
1.1170236403855782,7.79161818139411,-3.43842195561859,-2.990420802258563,80,-11.348354492076155,-0.19016200700181418,False
1.117206501213759,7.792867019409622,-3.4371731176030784,-2.990420802258563,80,-11.348354492076155,-0.19000667850690472,False
1.117828057499202,7.794440238000355,-3.435599899012344,-2.990420802258563,80,-11.348354492076155,-0.18979045350188062,False
1.117990815366032,7.795943955252755,-3.4340961817599442,-2.990420802258563,80,-11.348354492076155,-0.18961201815362524,False
1.1190394154719425,7.796946211749604,-3.433093925263096,-2.990420802258563,80,-11.348354492076155,-0.18947632590133892,False
1.1191198322072973,7.7982643564288,-3.431775780583899,-2.990420802258563,80,-11.348354492076155,-0.1893057525470764,False
1.1191833399993105,7.799793322917884,-3.4302468140948155,-2.990420802258563,80,-11.348354492076155,-0.18930484493352384,False
1.1196281986395422,7.800893711733891,-3.4291464252788093,-2.990420802258563,80,-11.348354492076155,-0.18914038792644816,False
1.119803371374974,7.80226785676786,-3.4277722802448403,-2.990420802258563,80,-11.348354492076155,-0.18897468696793912,False
1.1222942576801938,7.803657580377907,-3.426382556634793,-2.990420802258563,80,-11.348354492076155,-0.1888054547947638,False
1.1226680648957639,7.804621970926986,-3.425418166085714,-2.990420802258563,80,-11.348354492076155,-0.18880246732641148,False
1.1227658375075624,7.805392176878758,-3.424647960133941,-2.990420802258563,80,-11.348354492076155,-0.18868011497245962,False
1.1229131339884773,7.806570337891619,-3.4234697991210807,-2.990420802258563,80,-11.348354492076155,-0.18853535469118188,False
1.1242125170434139,7.807633894391273,-3.422406242621427,-2.990420802258563,80,-11.348354492076155,-0.1883863492642282,False
1.1266969520160381,7.808447456176264,-3.421592680836436,-2.990420802258563,80,-11.348354492076155,-0.18827421498076533,False
1.1269198854602502,7.809337624233028,-3.4207025127796715,-2.9459123994203504,80,-11.348354492076155,-0.18816574696361477,False
1.1288066908245644,7.810808259752189,-3.419231877260511,-2.9459123994203504,80,-11.348354492076155,-0.18816220374537462,False
1.1293022169065579,7.811741833450912,-3.4182983035617873,-2.9459123994203504,80,-11.348354492076155,-0.1880432303098233,False
1.1295086549458102,7.8142698374263855,-3.415770299586315,-2.9459123994203504,80,-11.348354492076155,-0.18802283956941376,False
1.1305436654268337,7.815704752556098,-3.414335384456603,-2.9459123994203504,80,-11.348354492076155,-0.18785019019344001,False
1.1308599834881272,7.81823292038625,-3.4118072166264493,-2.9459123994203504,80,-11.348354492076155,-0.1878533947172651,False
1.1309072678629304,7.818732096082414,-3.411308040930286,-2.9459123994203504,80,-11.348354492076155,-0.1877812666607388,False
1.1313035907912794,7.819449557176672,-3.4105905798360276,-2.9459123994203504,80,-11.348354492076155,-0.1876865035185975,False
1.1314412751419514,7.820535994977366,-3.4095041420353334,-2.9459123994203504,80,-11.348354492076155,-0.1875536136554851,False
1.1329746652436046,7.822035801639467,-3.4080043353732328,-2.9459123994203504,80,-11.348354492076155,-0.1874149986318542,False
1.133021825656421,7.822890815270082,-3.4071493217426183,-2.9459123994203504,80,-11.348354492076155,-0.18730900604607623,False
1.1335740775353147,7.823514779013445,-3.406525357999255,-2.914714212252177,80,-11.348354492076155,-0.18722571591820636,False
1.1337430379795217,7.82480115730565,-3.40523897970705,-2.914714212252177,80,-11.348354492076155,-0.18722933845170947,False
1.1351140197798666,7.825539261936267,-3.4045008750764327,-2.914714212252177,80,-11.348354492076155,-0.18713760606858393,False
1.1351508199621767,7.826595093166163,-3.4034450438465367,-2.914714212252177,80,-11.348354492076155,-0.1870206476060364,False
1.1353758311136415,7.827699218479199,-3.4023409185335005,-2.914714212252177,80,-11.348354492076155,-0.18691153045398515,False
1.1356771725270474,7.831995546809325,-3.398044590203375,-2.914714212252177,80,-11.348354492076155,-0.1869169297239492,False
1.1376524852622856,7.833050617540596,-3.3969895194721045,-2.914714212252177,80,-11.348354492076155,-0.1868139178290217,False
1.1385064638343372,7.833516331709262,-3.396523805303438,-2.914714212252177,80,-11.348354492076155,-0.1867393006467995,False
1.139070176825322,7.839465816463461,-3.3905743205492387,-2.914714212252177,80,-11.348354492076155,-0.18664160799215337,False
1.1391779477077904,7.843573485253127,-3.386466651759573,-2.914714212252177,80,-11.348354492076155,-0.18664929328771027,False
1.141435495353156,7.844046357456108,-3.3859937795565913,-2.914714212252177,80,-11.348354492076155,-0.18659745052904297,False
1.1418175423297312,7.854272481599855,-3.375767655412845,-2.914714212252177,80,-11.348354492076155,-0.18624325047750007,False
1.142221601693781,7.858954214280766,-3.3710859227319334,-2.914714212252177,80,-11.348354492076155,-0.1862678600166957,False
1.143450506192016,7.859358284887776,-3.3706818521249238,-2.914714212252177,80,-11.348354492076155,-0.1862136042498757,False
1.1434643813557148,7.859681886036584,-3.370358250976116,-2.914714212252177,80,-11.348354492076155,-0.18616351569743628,False
1.1435674275839565,7.860198630373817,-3.3698415066388834,-2.914714212252177,80,-11.348354492076155,-0.1860920360644931,False
1.1445335544885322,7.86110409863905,-3.3689360383736493,-2.914714212252177,80,-11.348354492076155,-0.1859843974214853,False
1.145514635694562,7.862099511382212,-3.367940625630488,-2.914714212252177,80,-11.348354492076155,-0.18598235719167278,False
1.1463238033518852,7.863462766543284,-3.366577370469415,-2.914714212252177,80,-11.348354492076155,-0.18580555574890859,False
1.1465250843584112,7.864407138729262,-3.3656329982834383,-2.914714212252177,80,-11.348354492076155,-0.1858053791384926,False
1.1466634497830963,7.864781503454662,-3.365258633558039,-2.914714212252177,80,-11.348354492076155,-0.18575813122960103,False
1.1468918528418892,7.865107106541911,-3.364933030470788,-2.914714212252177,80,-11.348354492076155,-0.18570999949349581,False
1.1475808593976267,7.865615167040917,-3.3644249699717834,-2.914714212252177,80,-11.348354492076155,-0.18565181381385898,False
1.1480934646316932,7.867121504448146,-3.362918632564554,-2.914714212252177,80,-11.348354492076155,-0.1856646965711093,False
1.1499850672928342,7.86845352098645,-3.3615866160262504,-2.914714212252177,80,-11.348354492076155,-0.18569663250234072,False
