index,low,winner,best_step,identity_best_step,selected_best_step,seconds,identity_mse,identity_psnr,identity_ssim,selected_mse,selected_psnr,selected_ssim,oracle_mse,oracle_psnr,oracle_ssim,t028_psnr,t028_ssim,delta_psnr,delta_ssim,ev_00,ev_01,ev_10,ev_11,gamma_00,gamma_01,gamma_10,gamma_11,wb_r_00,wb_r_01,wb_r_10,wb_r_11,wb_g_00,wb_g_01,wb_g_10,wb_g_11,wb_b_00,wb_b_01,wb_b_10,wb_b_11
0,Train/Low/low00653.png,T026A_selected,500,500,500,12.425633564998861,0.015101320874953753,18.209850643879463,0.3022750786367867,0.01507222034744202,18.218227653620616,0.3024273341768781,0.01507222034744202,18.218227653620616,0.3024273341768781,13.436791736900073,0.3344494252336049,4.781435916720543,-0.032022091056726765,1.9511325359344482,1.9752908945083618,1.9730722904205322,1.8720769882202148,0.504307210445404,0.5029645562171936,0.5413725972175598,0.5113930702209473,1.5853487253189087,1.4618548154830933,1.528593897819519,1.6471827030181885,1.8311582803726196,1.722676157951355,1.8955340385437012,1.837141990661621,1.987699270248413,1.9884209632873535,1.9764273166656494,1.926900863647461
1,Train/Low/low00651.png,T026A_selected,500,500,500,11.39340582699515,0.07449725901547812,11.278597059946831,0.41257255981703855,0.07449612421328562,11.278663215680675,0.4129493754053828,0.07449612421328562,11.278663215680675,0.4129493754053828,11.273637681690698,0.4148567855227027,0.005025533989977404,-0.0019074101173199298,1.7024662494659424,1.2436423301696777,0.0,0.0,0.6334955096244812,0.5562209486961365,1.0,1.0,1.1622974872589111,1.195050597190857,1.0,1.0,1.1533739566802979,1.1368764638900757,1.0,1.0,1.2207595109939575,1.2259891033172607,1.0,1.0
2,Train/Low/low00443.png,T026A_selected,500,500,500,11.407931328983977,0.04863884810954004,13.130167188009912,0.08066632923734934,0.04862533670267799,13.131373784146405,0.08068806299157408,0.04862533670267799,13.131373784146405,0.08068806299157408,12.223008203394599,0.09109207123636597,0.9083655807518056,-0.010404008244791887,-0.20771543681621552,-0.47114911675453186,1.1975493431091309,-0.5,0.5046670436859131,0.5037760138511658,0.5006970167160034,0.5141972899436951,1.7352986335754395,1.6051338911056519,0.8598049283027649,1.7451895475387573,1.955642580986023,1.7637349367141724,0.9658135771751404,1.8452435731887817,1.6502419710159302,1.344907283782959,0.716509222984314,0.9741820693016052
3,Train/Low/low00327.png,identity,500,500,500,11.256762208009604,0.01502173129725358,18.232800107730483,0.19736525382184458,0.015023999625673697,18.23214435898508,0.1971303687776341,0.01502173129725358,18.232800107730483,0.19736525382184458,17.87220701946412,0.21098407385280982,0.3605930882663628,-0.013618820030965234,-0.5,0.332297146320343,-0.5,0.0,0.5151576399803162,0.5144761800765991,0.5220015645027161,0.770872175693512,1.2146241664886475,0.9289481043815613,1.0923657417297363,1.5980085134506226,1.318723201751709,1.0149693489074707,1.242315411567688,1.7454622983932495,1.4023874998092651,1.0921475887298584,1.3182406425476074,1.7139021158218384
4,Train/Low/low00601.png,T026A_selected,500,500,500,10.98043285496533,0.0020026655447226696,26.983915740262585,0.5144611433804781,0.0019995650702793995,26.99064458395447,0.516721288263492,0.0019995650702793995,26.99064458395447,0.516721288263492,26.121594194342755,0.559892944876711,0.869050389611715,-0.04317165661321909,1.4597657918930054,1.7302442789077759,1.4876985549926758,1.2261724472045898,0.6303308010101318,0.658062219619751,0.533793568611145,0.5514012575149536,1.4558229446411133,1.340130090713501,1.072540521621704,1.2676527500152588,1.4620726108551025,1.349010705947876,1.0192766189575195,1.258684754371643,1.4836835861206055,1.3783395290374756,1.0730855464935303,1.289806842803955
5,Train/Low/low00509.png,T026A_selected,500,500,500,11.531182067003101,0.003507551233432683,24.549959766831805,0.594440192242938,0.0034882288350565295,24.573950321848777,0.5944437970818096,0.0034882288350565295,24.573950321848777,0.5944437970818096,21.28381152272731,0.5970532663389718,3.2901387991214683,-0.0026094692571622113,1.776733636856079,1.7618881464004517,1.8013849258422852,1.5303229093551636,0.5464766621589661,0.5160932540893555,0.508794367313385,0.5089638829231262,1.6304904222488403,1.6557797193527222,1.4743332862854004,1.664176106452942,1.2223715782165527,1.169618010520935,1.0933349132537842,1.2234525680541992,1.164819359779358,1.1192872524261475,0.9863595366477966,1.178687334060669
6,Train/Low/low00001.png,T026A_selected,500,500,500,11.49823456996819,0.0018109125666993364,27.421025175029836,0.7455671735612952,0.0017877954943747265,27.47682161571525,0.7475287254947438,0.0017877954943747265,27.47682161571525,0.7475287254947438,27.13111619887172,0.7480658156520749,0.3457054168435292,-0.0005370901573310549,1.2521724700927734,1.6091386079788208,1.6404850482940674,1.3485400676727295,0.5148533582687378,0.5276321768760681,0.5069940686225891,0.5629817247390747,1.1899417638778687,1.0830167531967163,1.0121538639068604,1.3230276107788086,1.1439992189407349,1.0607150793075562,0.9706884026527405,1.1962740421295166,1.1617389917373657,1.0616737604141235,0.9835099577903748,1.2004162073135376
7,Train/Low/low00608.png,T026A_selected,500,500,500,11.493099951010663,0.004739482681759061,23.242690593213474,0.6245159495566616,0.004739388132029102,23.24277723312406,0.6244871424435676,0.004739388132029102,23.24277723312406,0.6244871424435676,22.118260673491193,0.6612116208271074,1.1245165596328661,-0.03672447838353976,1.4711061716079712,1.774613857269287,1.7796289920806885,1.4659544229507446,0.6026802659034729,0.6238895058631897,0.6359546780586243,0.6473751664161682,1.45271635055542,1.3258283138275146,1.2974073886871338,1.4915034770965576,1.4406391382217407,1.282821774482727,1.3091000318527222,1.4843864440917969,1.4134790897369385,1.2468799352645874,1.2765685319900513,1.4332587718963623
8,Train/Low/low00351.png,T026A_selected,500,500,500,11.842705066024791,0.03353884115537948,14.744519473506461,0.08793971069886593,0.03347157724241296,14.753238224035798,0.08811526431616004,0.03347157724241296,14.753238224035798,0.08811526431616004,14.366964655010623,0.09377219006819068,0.3862735690251746,-0.005656925752030639,0.7254870533943176,-0.24215523898601532,-0.48865950107574463,0.8543499708175659,0.5013230443000793,0.5019828677177429,0.5082784295082092,0.5004574060440063,0.8787393569946289,1.1563851833343506,0.9978897571563721,0.7595638036727905,1.1140799522399902,1.5149801969528198,1.375938892364502,0.9551753997802734,1.1410356760025024,1.5861921310424805,1.360752820968628,0.9497354030609131
9,Train/Low/low00261.png,T026A_selected,500,500,500,11.15932239801623,0.07150341505265644,11.456732154981408,0.229571630315462,0.07146685499563628,11.45895329247561,0.22958244280156706,0.07146685499563628,11.45895329247561,0.22958244280156706,8.663851963871588,0.19784612631928084,2.795101328604021,0.031736316482286225,1.9966440200805664,1.9973212480545044,1.9988622665405273,1.9955079555511475,0.5008366703987122,0.5004249215126038,0.5011235475540161,0.5005170106887817,1.998116135597229,1.9968798160552979,1.9980340003967285,1.9960323572158813,1.9976222515106201,1.9959925413131714,1.996994972229004,1.994497299194336,1.9982497692108154,1.997068166732788,1.9980672597885132,1.996416687965393
