index,low,step,psnr,ssim,delta_T026,safety_reachable,selected_step,oracle_step
0,Train/Low/low00342.png,0,14.415560316019382,0.7802561909016361,-3.0889362677212713,True,25,7
0,Train/Low/low00342.png,1,15.472396766614766,0.8205468310849484,-2.0320998171258875,True,25,7
0,Train/Low/low00342.png,2,16.73713883043497,0.8555219240218661,-0.767357753305685,True,25,7
0,Train/Low/low00342.png,3,18.274531893762237,0.8841891274970773,0.7700353100215835,True,25,7
0,Train/Low/low00342.png,4,20.172863325148384,0.9058593474797614,2.6683667414077306,True,25,7
0,Train/Low/low00342.png,5,22.526216997856228,0.92022821381948,5.021720414115574,True,25,7
0,Train/Low/low00342.png,6,25.25323590701879,0.9274471731481115,7.748739323278137,True,25,7
0,Train/Low/low00342.png,7,27.329948745206526,0.9282396798567886,9.825452161465872,True,25,7
0,Train/Low/low00342.png,8,26.64964207006969,0.923330344528999,9.145145486329035,True,25,7
0,Train/Low/low00342.png,9,24.163201156141938,0.9138761533496479,6.658704572401284,True,25,7
0,Train/Low/low00342.png,10,21.73425472509914,0.9008111401932271,4.229758141358488,True,25,7
0,Train/Low/low00342.png,11,19.74413076637239,0.8852137605916054,2.239634182631736,True,25,7
0,Train/Low/low00342.png,12,18.154744061809247,0.8684604018137135,0.650247478068593,True,25,7
0,Train/Low/low00342.png,13,16.87850738199801,0.8514129179300193,-0.6259892017426445,True,25,7
0,Train/Low/low00342.png,14,15.841148201551572,0.8347870992207878,-1.6633483821890813,True,25,7
0,Train/Low/low00342.png,15,14.997064217383764,0.8192325557003396,-2.5074323663568894,True,25,7
0,Train/Low/low00342.png,16,14.30969913584136,0.8050437715183374,-3.194797447899294,True,25,7
0,Train/Low/low00342.png,17,13.753786804844822,0.7924963289180048,-3.750709778895832,True,25,7
0,Train/Low/low00342.png,18,13.310489474947499,0.7817468283028983,-4.194007108793155,True,25,7
0,Train/Low/low00342.png,19,12.961004907577403,0.7727324158594855,-4.543491676163251,True,25,7
0,Train/Low/low00342.png,20,12.689738170101696,0.7654366134491916,-4.814758413638957,True,25,7
0,Train/Low/low00342.png,21,12.482898075904355,0.7597321220016301,-5.021598507836298,True,25,7
0,Train/Low/low00342.png,22,12.328938744672364,0.7554346226087825,-5.17555783906829,True,25,7
0,Train/Low/low00342.png,23,12.219634280001328,0.75242733961052,-5.284862303739326,True,25,7
0,Train/Low/low00342.png,24,12.146446143636226,0.7505073624775103,-5.358050440104428,True,25,7
0,Train/Low/low00342.png,25,12.10310717277019,0.749526921919126,-5.401389410970463,True,25,7
0,Train/Low/low00342.png,26,12.083641937713079,0.7492776364024205,-5.420854646027575,True,25,7
0,Train/Low/low00342.png,27,12.083934339789932,0.7496501854710828,-5.420562243950721,True,25,7
