index,low,step,psnr,ssim,delta_T026,safety_reachable,selected_step,oracle_step
16,Train/Low/low00478.png,0,11.451926270530837,0.4601812647201685,-10.923111851585293,False,21,14
16,Train/Low/low00478.png,1,11.897655112234917,0.5052755346074084,-10.477383009881214,False,21,14
16,Train/Low/low00478.png,2,12.403627739604948,0.5514218152064567,-9.971410382511182,False,21,14
16,Train/Low/low00478.png,3,12.980097091899513,0.5977535503436784,-9.394941030216618,False,21,14
16,Train/Low/low00478.png,4,13.639894497013056,0.6432441564385345,-8.735143625103074,False,21,14
16,Train/Low/low00478.png,5,14.399485063143885,0.6867549415875134,-7.975553058972245,False,21,14
16,Train/Low/low00478.png,6,15.280522288833382,0.7271028920287105,-7.094515833282749,False,21,14
16,Train/Low/low00478.png,7,16.312295538494908,0.7631468593546351,-6.0627425836212225,False,21,14
16,Train/Low/low00478.png,8,17.535481633700435,0.79387884972313,-4.839556488415695,True,21,14
16,Train/Low/low00478.png,9,19.008203090683942,0.8185170347506924,-3.3668350314321884,True,21,14
16,Train/Low/low00478.png,10,20.814286594579727,0.8365777809959618,-1.5607515275364037,True,21,14
16,Train/Low/low00478.png,11,23.06574330038022,0.8479159772337195,0.6907051782640892,True,21,14
16,Train/Low/low00478.png,12,25.827903067322794,0.8527289730002825,3.452864945206663,True,21,14
16,Train/Low/low00478.png,13,28.514846699266776,0.8515340760892463,6.139808577150646,True,21,14
16,Train/Low/low00478.png,14,28.61900527660825,0.845094865167666,6.243967154492118,True,21,14
16,Train/Low/low00478.png,15,25.96869424645202,0.8343147851199899,3.59365612433589,True,21,14
16,Train/Low/low00478.png,16,23.141800169421533,0.8201749326509491,0.7667620473054022,True,21,14
16,Train/Low/low00478.png,17,20.82586319114987,0.8036569227103011,-1.5491749309662595,True,21,14
16,Train/Low/low00478.png,18,18.973056470948507,0.7857020357866096,-3.401981651167624,True,21,14
16,Train/Low/low00478.png,19,17.476617793135464,0.7671811987673736,-4.8984203289806665,True,21,14
16,Train/Low/low00478.png,20,16.25281767670543,0.7487259423514974,-6.122220445410701,False,21,14
16,Train/Low/low00478.png,21,15.243922691784427,0.730831917478995,-7.131115430331704,False,21,14
16,Train/Low/low00478.png,22,14.40693642044986,0.7139054730956755,-7.968101701666271,False,21,14
16,Train/Low/low00478.png,23,13.710296942753589,0.6983274929017081,-8.664741179362542,False,21,14
16,Train/Low/low00478.png,24,13.12988704186569,0.684225523705247,-9.24515108025044,False,21,14
16,Train/Low/low00478.png,25,12.648125753791037,0.6717660150937503,-9.726912368325094,False,21,14
16,Train/Low/low00478.png,26,12.251219427157194,0.6611037220682563,-10.123818694958937,False,21,14
16,Train/Low/low00478.png,27,11.929073441309178,0.6523235139800814,-10.445964680806952,False,21,14
86,Train/Low/low00262.png,0,12.695257278678941,0.36831149860927065,-10.917521202585615,False,25,14
86,Train/Low/low00262.png,1,13.096564393057474,0.4140034606812978,-10.516214088207082,False,25,14
86,Train/Low/low00262.png,2,13.551889843065783,0.4620481452046486,-10.060888638198772,False,25,14
86,Train/Low/low00262.png,3,14.070100612533452,0.511611876387805,-9.542677868731104,False,25,14
86,Train/Low/low00262.png,4,14.662140450141992,0.5616251899332402,-8.950638031122564,False,25,14
86,Train/Low/low00262.png,5,15.341863706682126,0.6108230669680629,-8.27091477458243,False,25,14
86,Train/Low/low00262.png,6,16.127209919145248,0.6578099072551745,-7.485568562119308,False,25,14
86,Train/Low/low00262.png,7,17.041987356332296,0.701151179479071,-6.57079112493226,False,25,14
86,Train/Low/low00262.png,8,18.118679467211653,0.7394855454140425,-5.494099014052903,True,25,14
86,Train/Low/low00262.png,9,19.40289425772575,0.7716423601863271,-4.209884223538804,True,25,14
86,Train/Low/low00262.png,10,20.960041357668672,0.7967433095710009,-2.652737123595884,True,25,14
86,Train/Low/low00262.png,11,22.88299043134007,0.814282359702668,-0.7297880499244869,True,25,14
86,Train/Low/low00262.png,12,25.28133523883873,0.8241593527613893,1.6685567575741729,True,25,14
86,Train/Low/low00262.png,13,28.10421951747267,0.8266711691654061,4.491441036208116,True,25,14
86,Train/Low/low00262.png,14,30.130172420826575,0.8224594457775702,6.5173939395620195,True,25,14
86,Train/Low/low00262.png,15,28.90448598247938,0.8124230236211046,5.291707501214823,True,25,14
86,Train/Low/low00262.png,16,25.973284198614888,0.7976250146228739,2.360505717350332,True,25,14
86,Train/Low/low00262.png,17,23.28173051513447,0.7791873788935808,-0.331047966130086,True,25,14
86,Train/Low/low00262.png,18,21.093985910397677,0.7582100353797616,-2.5187925708668786,True,25,14
86,Train/Low/low00262.png,19,19.316458961475156,0.7357120030715351,-4.2963195197893995,True,25,14
86,Train/Low/low00262.png,20,17.848501409521663,0.7125890336534921,-5.764277071742892,False,25,14
86,Train/Low/low00262.png,21,16.617295488485432,0.6895647427830512,-6.995482992779124,False,25,14
86,Train/Low/low00262.png,22,15.572619486968371,0.6672119194261364,-8.040158994296185,False,25,14
86,Train/Low/low00262.png,23,14.67891776479984,0.6459592593559543,-8.933860716464716,False,25,14
86,Train/Low/low00262.png,24,13.910414547392113,0.6261076329233117,-9.702363933872443,False,25,14
86,Train/Low/low00262.png,25,13.247833801770003,0.6078457175173902,-10.364944679494553,False,25,14
86,Train/Low/low00262.png,26,12.676502476066144,0.5912818736929729,-10.936276005198412,False,25,14
86,Train/Low/low00262.png,27,12.18460701852077,0.5764540159371772,-11.428171462743785,False,25,14
