index,low,delta_psnr,delta_ssim,selected_step,ev_lower,ev_upper,ev_either,gamma_lower,gamma_upper,gamma_either
82,Train/Low/low00092.png,2.0193190380343626,0.10252488796827136,40,0.0,0.0,0.0,0.75,0.0,0.75
83,Train/Low/low00266.png,1.0755435647919107,0.07358806488247516,40,0.0,0.0,0.0,1.0,0.0,1.0
84,Train/Low/low00180.png,0.1423941184990669,0.014936765543144562,40,0.25,0.0,0.25,0.5,0.25,0.75
85,Train/Low/low00679.png,1.0806525281245207,0.07452195528516337,40,0.0,0.0,0.0,1.0,0.0,1.0
86,Train/Low/low00408.png,3.4714453533979395e-10,1.0637612735120427e-09,40,0.0,0.25,0.25,0.0,0.75,0.75
87,Train/Low/low00623.png,1.1337817803646981,0.0727561342464963,40,0.0,0.0,0.0,1.0,0.0,1.0
88,Train/Low/low00646.png,2.943314123503855,0.12943788811439677,40,0.0,0.0,0.0,1.0,0.0,1.0
89,Train/Low/low00104.png,0.5202930701477353,0.03679273049296812,40,0.0,0.0,0.0,1.0,0.0,1.0
90,Train/Low/low00399.png,2.0082613083616252e-07,5.02534963642276e-09,40,0.25,0.0,0.25,0.0,0.75,0.75
91,Train/Low/low00638.png,1.0707780904744837,0.07643331333662817,40,0.25,0.25,0.25,1.0,0.25,1.0
92,Train/Low/low00533.png,0.7277602046558576,0.05805691946693703,40,0.0,0.0,0.0,1.0,0.0,1.0
93,Train/Low/low00142.png,0.36285371694949653,0.03021662827638477,40,0.0,0.0,0.0,1.0,0.0,1.0
94,Train/Low/low00182.png,0.1898307758479003,0.010069143686603749,40,0.0,0.0,0.0,0.25,0.0,0.25
95,Train/Low/low00477.png,1.4448668342544462,0.11989069088166338,40,0.0,0.0,0.0,1.0,0.0,1.0
96,Train/Low/low00036.png,1.4036763570340414,0.12823125855770487,40,0.0,0.0,0.0,1.0,0.0,1.0
97,Train/Low/low00594.png,1.359227154240882,0.054003278365155005,40,0.25,0.25,0.25,1.0,0.25,1.0
98,Train/Low/low00192.png,0.1726221143248745,0.015619194591185319,40,0.0,0.0,0.0,0.5,0.25,0.75
99,Train/Low/low00668.png,1.3399697333001885,0.06713528026759741,40,0.0,0.0,0.0,0.75,0.0,0.75
