index,low,normal,seconds,active,updates,selected_step,raw_psnr,raw_ssim,ours_psnr,ours_ssim
0,Train/Low/low00653.png,Train/Normal/normal00653.png,2.4246683049714193,True,40,40,7.57795622399096,0.04125385681853205,8.647395762419265,0.1495357655712035
1,Train/Low/low00651.png,Train/Normal/normal00651.png,2.531242861994542,True,40,40,8.735742035472692,0.17220725978708165,9.494727205197371,0.27496684210719907
2,Train/Low/low00443.png,Train/Normal/normal00443.png,2.206921932986006,True,40,40,9.14468114678116,0.12113560284128243,9.302258654402202,0.1151443618245308
3,Train/Low/low00327.png,Train/Normal/normal00327.png,2.425769825989846,True,40,37,11.337268918118946,0.2121969556718744,10.623782497022557,0.18295632877701934
4,Train/Low/low00601.png,Train/Normal/normal00601.png,2.387176325020846,True,40,40,8.285448346399846,0.20396672068024532,11.487930972771379,0.4746608802946095
5,Train/Low/low00509.png,Train/Normal/normal00509.png,2.4498999219504185,True,40,40,10.817447021738047,0.1678521290980604,13.132919571331868,0.37186767810861915
6,Train/Low/low00001.png,Train/Normal/normal00001.png,2.440613485989161,True,40,40,7.3724865300837115,0.24158257140591555,12.702115591855998,0.6217092930027628
7,Train/Low/low00608.png,Train/Normal/normal00608.png,2.39435534295626,True,40,40,6.34675998220175,0.17874480671031773,10.21679719411416,0.512092957743312
8,Train/Low/low00351.png,Train/Normal/normal00351.png,2.48507511196658,True,40,40,10.44520690218302,0.13776310895795815,11.648997604967168,0.12943735746069848
9,Train/Low/low00261.png,Train/Normal/normal00261.png,2.4883666890091263,True,40,40,5.943574772535387,0.015362342311840835,6.2850359528083395,0.044027387817278434
10,Train/Low/low00177.png,Train/Normal/normal00177.png,2.4658031670260243,True,40,40,7.276419041078491,0.05943688083581653,8.671545914188421,0.1947834124539577
11,Train/Low/low00542.png,Train/Normal/normal00542.png,2.4487750380067155,True,40,40,5.989770761400385,0.133256225323828,8.437021970595142,0.3858472489878187
12,Train/Low/low00592.png,Train/Normal/normal00592.png,2.466107025044039,True,40,40,8.307288312267225,0.24123625656006484,10.6151223150425,0.4757280829316891
13,Train/Low/low00184.png,Train/Normal/normal00184.png,2.4670704510062933,True,40,40,7.35739322514076,0.10164020915940625,9.45969646575512,0.29043679517446547
14,Train/Low/low00080.png,Train/Normal/normal00080.png,2.4526021589990705,True,40,40,5.6021116438095255,0.22065302702760298,9.366707386139089,0.5657696169523229
15,Train/Low/low00501.png,Train/Normal/normal00501.png,2.4790218300186098,True,40,40,8.350773303507005,0.1705303528937216,12.300215635890348,0.5305850872930855
16,Train/Low/low00133.png,Train/Normal/normal00133.png,2.4598583620390855,True,40,40,4.974555734497576,0.026132485745239575,5.724757377708015,0.08255626990579207
17,Train/Low/low00455.png,Train/Normal/normal00455.png,2.2816293659852818,True,40,35,10.243004890845832,0.13014798542796818,9.72773254893139,0.11956665729471598
18,Train/Low/low00206.png,Train/Normal/normal00206.png,2.448557230003644,True,40,26,9.989168128484296,0.30858969199528347,17.66818267081082,0.7132844827047597
19,Train/Low/low00314.png,Train/Normal/normal00314.png,2.0860466900048777,True,40,40,10.678253239222794,0.18427194394802734,11.776246214792195,0.16397525105479163
20,Train/Low/low00097.png,Train/Normal/normal00097.png,2.0008024030248635,True,40,40,9.027161490204263,0.09933405381524278,10.941885678198936,0.29858918720317074
21,Train/Low/low00520.png,Train/Normal/normal00520.png,2.437936910020653,True,40,40,7.898850552567263,0.09116325698288649,9.390586334022233,0.22424997442855168
22,Train/Low/low00424.png,Train/Normal/normal00424.png,2.438492754998151,True,40,35,10.010772201907265,0.12361664379005625,9.72249506401019,0.10791152056286556
23,Train/Low/low00535.png,Train/Normal/normal00535.png,2.4629652450094,True,40,40,5.903887637010607,0.14019142204178217,8.837408520386155,0.41273420402429545
24,Train/Low/low00336.png,Train/Normal/normal00336.png,2.4468921549851075,True,40,33,12.940036514702896,0.1423579808818283,12.880153685020218,0.13652009107160568
25,Train/Low/low00554.png,Train/Normal/normal00554.png,2.448325384000782,True,40,40,6.407196757757761,0.10487064696469772,7.846661629249844,0.26767069498225493
26,Train/Low/low00564.png,Train/Normal/normal00564.png,2.4622208020300604,True,40,40,7.103243089342994,0.10613713083594403,12.090038552842087,0.41983851497486113
27,Train/Low/low00440.png,Train/Normal/normal00440.png,2.464814069971908,True,40,35,15.140939974546516,0.2154287462252617,14.352600976328954,0.2211404075688932
28,Train/Low/low00584.png,Train/Normal/normal00584.png,2.4325872900080867,True,40,40,7.56097939383872,0.12495984315464051,10.23364536927069,0.3689633605691176
29,Train/Low/low00529.png,Train/Normal/normal00529.png,2.4716997060459107,True,40,40,7.651974025141996,0.18272547377754164,8.725260303438766,0.3288691847623106
30,Train/Low/low00213.png,Train/Normal/normal00213.png,2.428462087002117,True,40,40,5.482083267721242,0.11287464349198718,7.672864255397334,0.32692071166887265
31,Train/Low/low00019.png,Train/Normal/normal00019.png,2.4840970569639467,True,40,40,5.826158588883236,0.03438005012922033,6.786512526016541,0.13320991469003288
32,Train/Low/low00004.png,Train/Normal/normal00004.png,2.4679289549821988,True,40,40,5.871570987478868,0.07623366309546356,7.849256237944827,0.23110108228364856
33,Train/Low/low00449.png,Train/Normal/normal00449.png,2.4475037549855188,True,40,40,11.934053691869188,0.15752351761292077,12.217668839072722,0.1206573746514429
34,Train/Low/low00040.png,Train/Normal/normal00040.png,2.440704091975931,True,40,40,6.09253181586055,0.25347568399017417,11.654214364211908,0.6763004849631229
35,Train/Low/low00465.png,Train/Normal/normal00465.png,2.444367961026728,True,40,34,12.71981239883575,0.17221364589646335,12.352850382477216,0.1674581779294247
36,Train/Low/low00293.png,Train/Normal/normal00293.png,2.457277173001785,True,40,40,8.451031038372092,0.10285221776240284,8.207184610232387,0.09208969796947289
37,Train/Low/low00563.png,Train/Normal/normal00563.png,2.4670990880113095,True,40,40,9.922765077089029,0.18263317242447444,16.623310297012047,0.5667995165942358
38,Train/Low/low00515.png,Train/Normal/normal00515.png,2.474749789980706,True,40,40,9.58018068516171,0.11060656499319797,10.660452068482588,0.19300936505035723
39,Train/Low/low00476.png,Train/Normal/normal00476.png,2.4487573059741408,True,40,40,11.147784456548946,0.16674336938397394,14.595400284941826,0.5401896003438863
40,Train/Low/low00219.png,Train/Normal/normal00219.png,2.4543542210012674,True,40,40,6.045803655301867,0.12968273791190765,8.269137314793596,0.33421886937255046
41,Train/Low/low00084.png,Train/Normal/normal00084.png,2.4220541960094124,True,40,40,7.27411619515176,0.2880995073584566,12.828581354004127,0.6656566037250538
42,Train/Low/low00100.png,Train/Normal/normal00100.png,2.4748098899726756,True,40,40,7.636727020357107,0.09331044217194855,10.23369779025376,0.31158259312558767
43,Train/Low/low00561.png,Train/Normal/normal00561.png,2.433331297012046,True,40,40,10.881517482173654,0.15025237522370855,14.769592337224422,0.5044284647576458
44,Train/Low/low00510.png,Train/Normal/normal00510.png,2.448084257019218,True,40,40,7.286500277155751,0.08377541679275002,8.840584023394973,0.2360866152975608
45,Train/Low/low00562.png,Train/Normal/normal00562.png,2.467286247992888,True,40,40,6.422322216633216,0.11856704473373052,9.151576750259153,0.3917615762265994
46,Train/Low/low00247.png,Train/Normal/normal00247.png,2.308793175034225,True,40,40,8.12104424053178,0.3147364187851212,14.186469965609326,0.7338572295617533
47,Train/Low/low00326.png,Train/Normal/normal00326.png,2.295010039990302,True,40,40,8.755467811206461,0.1658168137990396,8.301838226972977,0.1417061130591901
48,Train/Low/low00385.png,Train/Normal/normal00385.png,2.2663019049796276,True,40,38,5.91778310212685,0.10269507157096382,5.258010700050435,0.0897507327629121
49,Train/Low/low00295.png,Train/Normal/normal00295.png,2.2498207049793564,True,40,40,8.955652009345073,0.19954077560818764,10.508557402519385,0.19019118146021585
50,Train/Low/low00331.png,Train/Normal/normal00331.png,2.3287216380122118,True,40,40,7.133195439360981,0.07523608975155764,6.745994793824862,0.06654242586716103
51,Train/Low/low00124.png,Train/Normal/normal00124.png,2.4431813309784047,True,40,40,5.408086979178076,0.12633442292766267,7.340731537621233,0.32145929441297033
52,Train/Low/low00196.png,Train/Normal/normal00196.png,2.4643749879905954,True,40,40,7.0674262882838415,0.11633881974231661,8.949091008173632,0.31768098180588755
53,Train/Low/low00627.png,Train/Normal/normal00627.png,2.4762590889586136,True,40,40,6.234624994937693,0.17740127983564621,9.809217215447049,0.4919174074284794
54,Train/Low/low00057.png,Train/Normal/normal00057.png,2.440676724014338,True,40,40,6.015776390294772,0.1663407195912789,9.688545362190196,0.5395517378544317
55,Train/Low/low00165.png,Train/Normal/normal00165.png,2.472102645027917,True,40,40,6.890402304158307,0.07801658712458846,8.328738344973694,0.24061509900183584
56,Train/Low/low00364.png,Train/Normal/normal00364.png,2.4721126590156928,True,40,40,10.590792272326187,0.218692996028279,9.191304808233665,0.19887698117881766
57,Train/Low/low00406.png,Train/Normal/normal00406.png,2.44869309902424,True,40,40,7.395207898323558,0.11784358134825512,7.081148537287161,0.10528430652193242
58,Train/Low/low00586.png,Train/Normal/normal00586.png,2.479562887980137,True,40,40,7.274223426924657,0.16985383053870526,8.764975759613073,0.39843380337275214
59,Train/Low/low00643.png,Train/Normal/normal00643.png,2.4235288049676456,True,40,40,11.452143382826014,0.7311709778809691,22.31232759619164,0.9392795731421122
60,Train/Low/low00505.png,Train/Normal/normal00505.png,2.432030831987504,True,40,40,7.630599737467798,0.10644056324513897,10.407068562583735,0.32189277853341225
61,Train/Low/low00119.png,Train/Normal/normal00119.png,2.4391261919518,True,40,40,10.578593625698055,0.33837077951394445,17.890334032933122,0.7104773693182952
62,Train/Low/low00299.png,Train/Normal/normal00299.png,2.476022921036929,True,40,40,11.32393124995048,0.24004265462163218,13.16349072455351,0.22732491516599815
63,Train/Low/low00683.png,Train/Normal/normal00683.png,2.472064720990602,True,40,40,8.112667889406042,0.0678235609157656,10.178689804682177,0.27380357028909097
64,Train/Low/low00110.png,Train/Normal/normal00110.png,2.467303456971422,True,40,40,8.605950925262317,0.38332794713082935,16.48211773433772,0.7371917879496857
65,Train/Low/low00214.png,Train/Normal/normal00214.png,2.4756334069534205,True,40,40,5.314105651663353,0.0308068766644641,5.68073081506228,0.07217586023088407
66,Train/Low/low00417.png,Train/Normal/normal00417.png,2.4762697879923508,True,40,39,9.367406674208404,0.11318569112721105,8.972256803486053,0.10107811308972163
67,Train/Low/low00354.png,Train/Normal/normal00354.png,2.408221806981601,True,40,40,11.853193771994441,0.14475314287677812,12.09683976482024,0.12451396792132835
