image_id,split,condition,view,d_dark,d_bright,input_clipping_fraction,type,active
23034,calibration,clean,full,-0.053382888436317444,-0.016478925943374634,0.0022551321890205145,bright,False
23034,calibration,clean,top_left,-0.07777091860771179,-0.04050473868846893,0.0015167363453656435,bright,False
23034,calibration,clean,top_right,-0.047240644693374634,0.000616118311882019,0.0032552084885537624,bright,False
23034,calibration,clean,bottom_left,-0.08958496153354645,-0.05050678551197052,0.0014121338026598096,bright,False
23034,calibration,clean,bottom_right,-0.04075935482978821,-0.030317142605781555,0.0028298611287027597,bright,False
23272,calibration,clean,full,-0.04413299262523651,0.030709266662597656,0.003768094815313816,bright,True
23272,calibration,clean,top_left,-0.04352201521396637,-0.0264853835105896,0.007237871643155813,bright,False
23272,calibration,clean,top_right,-0.012415111064910889,0.03405338525772095,0.0056827072985470295,bright,True
23272,calibration,clean,bottom_left,0.0030227750539779663,-0.022326618432998657,0.0020050860475748777,dark,False
23272,calibration,clean,bottom_right,-0.022492945194244385,0.02853107452392578,0.00014671361714135855,bright,False
25181,calibration,clean,full,0.006122007966041565,-0.03992202877998352,0.028170667588710785,dark,False
25181,calibration,clean,top_left,0.021637842059135437,-0.005223557353019714,0.02350941300392151,dark,False
25181,calibration,clean,top_right,0.01572035253047943,0.0027657002210617065,0.021901041269302368,dark,False
25181,calibration,clean,bottom_left,0.01783931255340576,0.0037838369607925415,0.026072174310684204,dark,False
25181,calibration,clean,bottom_right,0.024159982800483704,0.0014550238847732544,0.04117187485098839,dark,False
25228,calibration,clean,full,0.013739466667175293,0.01191931962966919,0.00013548329297918826,dark,False
25228,calibration,clean,top_left,0.021933913230895996,-0.015594393014907837,3.561253470252268e-05,dark,False
25228,calibration,clean,top_right,0.02440875768661499,-0.004012882709503174,8.865248673828319e-06,dark,False
25228,calibration,clean,bottom_left,0.022367164492607117,0.011454612016677856,0.00020477207726798952,dark,False
25228,calibration,clean,bottom_right,0.012822985649108887,0.0036596208810806274,0.00029255321715027094,dark,False
25394,calibration,clean,full,-0.007473558187484741,0.014282062649726868,0.0006406494649127126,bright,False
25394,calibration,clean,top_left,0.01419992744922638,0.005371153354644775,0.000978090800344944,dark,False
25394,calibration,clean,top_right,0.04216177761554718,-0.01140660047531128,0.0011052426416426897,dark,True
25394,calibration,clean,bottom_left,-0.022404029965400696,0.016329020261764526,8.802817319519818e-05,bright,False
25394,calibration,clean,bottom_right,-0.03291685879230499,0.005108088254928589,0.0003912363317795098,bright,False
25560,calibration,clean,full,-0.013884484767913818,0.019011080265045166,0.0006846635369583964,bright,False
25560,calibration,clean,top_left,-4.729628562927246e-05,0.011563330888748169,0.001731220749206841,bright,False
25560,calibration,clean,top_right,0.028957724571228027,0.005715429782867432,0.0004792644758708775,dark,True
25560,calibration,clean,bottom_left,-0.031939923763275146,-0.004027232527732849,0.0003912363317795098,bright,False
25560,calibration,clean,bottom_right,-0.01624879240989685,-0.017581239342689514,0.0001369327073916793,dark,False
33221,evaluation,clean,full,-0.020671382546424866,0.021654188632965088,0.044550783932209015,bright,False
33221,evaluation,clean,top_left,-0.0016172975301742554,0.021594122052192688,0.17268230020999908,bright,False
33221,evaluation,clean,top_right,-0.013784676790237427,0.0172814279794693,0.004088541958481073,bright,False
33221,evaluation,clean,bottom_left,-0.01934976875782013,0.02851930260658264,0.0006249999860301614,bright,False
33221,evaluation,clean,bottom_right,-0.03919288516044617,0.008840247988700867,0.0008072917116805911,bright,False
33221,evaluation,homogeneous_dark,full,0.028507784008979797,0.027681216597557068,0.00021267362171784043,dark,True
33221,evaluation,homogeneous_dark,top_left,0.029182687401771545,0.026590466499328613,4.340277882874943e-05,dark,True
33221,evaluation,homogeneous_dark,top_right,0.015944331884384155,0.0071420818567276,6.944444612599909e-05,dark,False
33221,evaluation,homogeneous_dark,bottom_left,0.008885473012924194,0.030015110969543457,0.0006076389108784497,bright,True
33221,evaluation,homogeneous_dark,bottom_right,-0.006031408905982971,0.016563430428504944,0.0001302083401242271,bright,False
33221,evaluation,homogeneous_bright,full,-0.0515395849943161,0.03386129438877106,0.45294487476348877,bright,True
33221,evaluation,homogeneous_bright,top_left,-0.01223631203174591,0.015289276838302612,0.768871545791626,bright,False
33221,evaluation,homogeneous_bright,top_right,-0.021274566650390625,0.024035662412643433,0.6999479532241821,bright,False
33221,evaluation,homogeneous_bright,bottom_left,-0.034395650029182434,0.03551079332828522,0.15439236164093018,bright,True
33221,evaluation,homogeneous_bright,bottom_right,-0.05643762648105621,0.00923098623752594,0.18856771290302277,bright,False
33221,evaluation,left_right,full,-0.02321109175682068,0.01117841899394989,0.22229167819023132,bright,False
33221,evaluation,left_right,top_left,0.029182687401771545,0.026590466499328613,4.340277882874943e-05,dark,True
33221,evaluation,left_right,top_right,-0.021274566650390625,0.024035662412643433,0.6999479532241821,bright,False
33221,evaluation,left_right,bottom_left,0.008885473012924194,0.030015110969543457,0.0006076389108784497,bright,True
33221,evaluation,left_right,bottom_right,-0.05643762648105621,0.00923098623752594,0.18856771290302277,bright,False
33221,evaluation,quadrants,full,-0.014766499400138855,0.013866186141967773,0.21362847089767456,bright,False
33221,evaluation,quadrants,top_left,0.029182687401771545,0.026590466499328613,4.340277882874943e-05,dark,True
33221,evaluation,quadrants,top_right,-0.021274566650390625,0.024035662412643433,0.6999479532241821,bright,False
33221,evaluation,quadrants,bottom_left,-0.034395650029182434,0.03551079332828522,0.15439236164093018,bright,True
33221,evaluation,quadrants,bottom_right,-0.006031408905982971,0.016563430428504944,0.0001302083401242271,bright,False
33221,evaluation,smooth_gradient,full,-0.01985548436641693,0.02573050558567047,0.15807509422302246,bright,False
33221,evaluation,smooth_gradient,top_left,-0.0002525150775909424,0.010593041777610779,4.340277882874943e-05,bright,False
33221,evaluation,smooth_gradient,top_right,-0.020727410912513733,0.024557605385780334,0.565538227558136,bright,False
33221,evaluation,smooth_gradient,bottom_left,-0.010563701391220093,0.029892683029174805,0.0006076389108784497,bright,True
33221,evaluation,smooth_gradient,bottom_right,-0.05137258768081665,0.007784411311149597,0.06611111015081406,bright,False
33368,evaluation,clean,full,0.004870980978012085,0.04223667085170746,0.03876348212361336,bright,True
33368,evaluation,clean,top_left,0.02608126401901245,0.04566952586174011,0.0685669407248497,bright,True
33368,evaluation,clean,top_right,0.037017256021499634,0.022569552063941956,0.07629881054162979,dark,True
33368,evaluation,clean,bottom_left,-0.023922085762023926,0.04417546093463898,0.0028038194868713617,bright,True
33368,evaluation,clean,bottom_right,-0.021155178546905518,0.03606042265892029,0.0076649305410683155,bright,True
33368,evaluation,homogeneous_dark,full,0.035331398248672485,0.044000640511512756,0.03752826899290085,bright,True
33368,evaluation,homogeneous_dark,top_left,0.061362624168395996,0.03117954730987549,0.0677301213145256,dark,True
33368,evaluation,homogeneous_dark,top_right,0.0699780285358429,0.017461732029914856,0.07628137618303299,dark,True
33368,evaluation,homogeneous_dark,bottom_left,0.01389971375465393,0.02406582236289978,0.0003124999930150807,bright,False
33368,evaluation,homogeneous_dark,bottom_right,0.014790177345275879,0.02944888174533844,0.006076388992369175,bright,False
33368,evaluation,homogeneous_bright,full,-0.0133228600025177,0.04877236485481262,0.30459287762641907,bright,True
33368,evaluation,homogeneous_bright,top_left,0.016638532280921936,0.057738691568374634,0.19986924529075623,bright,True
33368,evaluation,homogeneous_bright,top_right,0.019802719354629517,0.03398466110229492,0.21671023964881897,bright,True
