index,low,baseline_psnr,baseline_ssim,baseline_step,baseline_seconds,common_psnr,common_ssim,common_step,common_seconds,delta_psnr,delta_ssim
0,Train/Low/low00353.png,12.185141558096594,0.13612575407426075,40,1.9947148840292357,11.883085059765627,0.13025996108516497,40,1.8351742699742317,-0.3020564983309679,-0.005865792989095786
1,Train/Low/low00277.png,9.10915034555986,0.10449994442718188,37,2.2191843580221757,9.057781775344399,0.0971572047223369,40,2.370399618986994,-0.05136857021546071,-0.007342739704844989
2,Train/Low/low00488.png,14.54841121257896,0.5462285787311408,40,2.4164711789926514,15.631130065177947,0.5437211634472449,40,2.3451424299855717,1.0827188525989868,-0.002507415283895975
3,Train/Low/low00301.png,8.647248144923264,0.0859665937391699,40,2.3968277639942244,9.112550116905073,0.08601970091292428,40,2.464840753003955,0.465301971981809,5.3107173754382564e-05
4,Train/Low/low00341.png,10.845309283720965,0.14829274216673893,38,2.4413494850159623,10.72830583554662,0.1481139930502572,40,2.4434413489652798,-0.11700344817434605,-0.00017874911648174674
5,Train/Low/low00283.png,11.159828941564173,0.18362276183607812,40,2.5249093580059707,11.276497108378845,0.19567485609071134,40,2.4655647309846245,0.11666816681467118,0.012052094254633217
6,Train/Low/low00079.png,9.961169288526726,0.6126928254223849,40,2.2969659480149858,14.887879335033237,0.6653463813808574,40,2.1252840280067176,4.926710046506511,0.05265355595847254
7,Train/Low/low00013.png,8.044479711314759,0.5193684497091732,40,2.3389109449926764,12.892810486751591,0.5917691121416723,40,2.3933559820288792,4.848330775436832,0.0724006624324991
8,Train/Low/low00198.png,19.29324291771075,0.7970432750756323,40,2.3699556440114975,17.682477764877415,0.7285124025697223,40,2.4790996340452693,-1.6107651528333342,-0.06853087250591006
9,Train/Low/low00232.png,16.17870565445416,0.657327814919943,40,2.4640228950302117,21.655620933551255,0.655360811227957,40,2.47167402098421,5.476915279097096,-0.0019670036919859912
10,Train/Low/low00582.png,8.079229181254732,0.14409111767915578,40,2.4384440230205655,8.203170840844717,0.13272385476098564,40,2.4593369310023263,0.12394165958998471,-0.01136726291817014
11,Train/Low/low00190.png,8.895620550277405,0.28547265269186267,40,2.3985332750016823,10.548332215446132,0.3361266824442745,40,2.482108952011913,1.6527116651687273,0.050654029752411844
12,Train/Low/low00372.png,7.86442018222981,0.07965820475725367,40,2.4124346480239183,7.0659355848256205,0.08675392215151834,40,2.37654173996998,-0.7984845974041894,0.007095717394264664
13,Train/Low/low00453.png,11.668195331378879,0.1478177007627077,34,2.302302745054476,11.64193423415952,0.12854298510411616,40,2.3334195649949834,-0.02626109721935954,-0.01927471565859154
