image_id,condition,method,mse,psnr_db,recovery_ratio,clean_drift_mse,dark_region_mse,bright_region_mse,loss_before,loss_after,active_count,steps,stop_reason,ev_min,ev_max,gamma_min,gamma_max
139,clean,identity,0.0,,,0.0,,,-0.0,-0.0,0,0,identity,0.0,0.0,1.0,1.0
139,clean,global_direct,0.0,,,0.0,,,-0.0,-0.0,0,0,no_active,0.0,0.0,1.0,1.0
139,clean,spatial2_direct,0.0,,,0.0,,,-0.0,-0.0,0,0,no_active,0.0,0.0,1.0,1.0
139,clean,global_discrete,0.0,,,0.0,,,-0.0,-0.0,0,0,no_active,0.0,0.0,1.0,1.0
139,clean,spatial2_discrete,0.0,,,0.0,,,-0.0,-0.0,0,0,no_active,0.0,0.0,1.0,1.0
139,clean,global_ttt,0.0,,,0.0,,,-0.0,-0.0,0,0,no_active,0.0,0.0,1.0,1.0
139,clean,spatial2_ttt,0.0,,,0.0,,,-0.0,-0.0,0,0,no_active,0.0,0.0,1.0,1.0
139,homogeneous_dark,identity,0.06421360373497009,11.923729563365203,0.0,,,,9.263345861335797,9.263345861335797,4,0,identity,0.0,0.0,1.0,1.0
139,homogeneous_dark,global_direct,0.02806459367275238,15.518412412390333,0.562949405727424,,,,9.263345861335797,3.3896617046316226,4,0,fixed_direct,0.5,0.5,1.0,1.0
139,homogeneous_dark,spatial2_direct,0.02806459367275238,15.518412412390333,0.562949405727424,,,,9.263345861335797,3.3896617046316226,4,0,fixed_direct,0.5,0.5,1.0,1.0
139,homogeneous_dark,global_discrete,0.0014593030791729689,28.358545011545612,0.9772742379450314,,,,9.263345861335797,0.07533447960064912,4,0,one_coordinate_pass,0.9999999403953552,0.9999999403953552,0.8000000715255737,0.8000000715255737
139,homogeneous_dark,spatial2_discrete,0.0033019017428159714,24.81235854509853,0.9485794045068088,,,,9.263345861335797,0.06036859776339991,4,0,one_coordinate_pass,0.9999999403953552,0.9999999403953552,0.8000000715255737,1.25
139,homogeneous_dark,global_ttt,0.014569713734090328,18.365489811693564,0.7731054965514137,,,,9.263345861335797,0.0014945621028563372,4,40,max_updates,1.2100411653518677,1.2100411653518677,0.7077351212501526,0.7077351212501526
139,homogeneous_dark,spatial2_ttt,0.012803658843040466,18.926659062678997,0.8006083119725654,,,,9.263345861335797,0.0004101260474103442,4,40,max_updates,1.0616627931594849,1.2437323331832886,0.6903205513954163,0.7798731327056885
139,homogeneous_bright,identity,0.05408528819680214,12.669208517851736,0.0,,,,6.697537192435178,6.697537192435178,1,0,identity,0.0,0.0,1.0,1.0
139,homogeneous_bright,global_direct,0.030772719532251358,15.11834121378156,0.43103345552532646,,,,6.697537192435178,0.6505625317781121,1,0,fixed_direct,-0.1250000149011612,-0.1250000149011612,1.0,1.0
139,homogeneous_bright,spatial2_direct,0.03868298605084419,14.124800088560942,0.2847780359404395,,,,6.697537192435178,0.09640502376781679,1,0,fixed_direct,-0.5,0.0,1.0,1.0
139,homogeneous_bright,global_discrete,0.0012517616851255298,29.024783457953593,0.9768557822864751,,,,6.697537192435178,0.2903092002687421,1,0,one_coordinate_pass,-0.5,-0.5,1.0,1.0
139,homogeneous_bright,spatial2_discrete,0.018653878942131996,17.292308460000253,0.655102532240275,,,,6.697537192435178,0.1816843462022601,1,0,one_coordinate_pass,-0.9999999403953552,-0.5,0.8000000715255737,1.25
139,homogeneous_bright,global_ttt,0.007563614286482334,21.212706265117536,0.860153943176556,,,,6.697537192435178,0.19810119740222876,1,40,max_updates,-0.44418203830718994,-0.44418203830718994,0.8799422383308411,0.8799422383308411
139,homogeneous_bright,spatial2_ttt,0.0065531241707503796,21.83551602811328,0.8788372145322535,,,,6.697537192435178,0.05561647562690037,1,40,max_updates,-0.7684332132339478,-0.4048665165901184,0.6858395338058472,1.0474677085876465
139,left_right,identity,0.05868561193346977,12.314683625315098,0.0,,0.0630979984998703,0.05427322909235954,9.406238613350776,9.406238613350776,3,0,identity,0.0,0.0,1.0,1.0
139,left_right,global_direct,0.062361277639865875,12.050849956919908,-0.06263316655133622,,0.054098956286907196,0.07062359899282455,9.406238613350776,11.296188046823461,3,0,fixed_direct,0.1250000149011612,0.1250000149011612,1.0,1.0
139,left_right,spatial2_direct,0.035700175911188126,14.473296439138547,0.3916707224309016,,0.034954775124788284,0.03644556552171707,9.406238613350776,2.5842377661737626,3,0,fixed_direct,-0.5,0.5,1.0,1.0
139,left_right,global_discrete,0.10714581608772278,9.700247829561803,-0.825759544080259,,0.001436732360161841,0.21285489201545715,9.406238613350776,9.017712111169638,3,0,one_coordinate_pass,0.9999999403953552,0.9999999403953552,0.8000000715255737,0.8000000715255737
139,left_right,spatial2_discrete,0.016469061374664307,17.833311519790012,0.7193679876196091,,0.01463845744729042,0.01829967088997364,9.406238613350776,0.003468047845966752,3,0,one_coordinate_pass,-0.9999999403953552,0.9999999403953552,0.8000000715255737,1.25
139,left_right,global_ttt,0.04804649204015732,13.183383154505313,0.18129009041217337,,0.016499554738402367,0.07959342747926712,9.406238613350776,4.246521136501141,3,40,max_updates,-0.11519089341163635,-0.11519089341163635,0.6045873165130615,0.6045873165130615
139,left_right,spatial2_ttt,0.016496017575263977,17.826208893522598,0.7189086552600823,,0.013775656931102276,0.019216377288103104,9.406238613350776,0.0,3,22,clean_envelope,-0.5990138053894043,1.022177815437317,0.7274930477142334,1.402085781097412
139,quadrants,identity,0.06054847687482834,12.178967772637401,0.0,,0.07077091187238693,0.050326041877269745,9.332064728328017,9.332064728328017,2,0,identity,0.0,0.0,1.0,1.0
139,quadrants,global_direct,0.06595953553915024,11.807224111459892,-0.08936737872875256,,0.05055541545152664,0.08136364072561264,9.332064728328017,6.331689417315819,2,0,fixed_direct,0.2500000298023224,0.2500000298023224,1.0,1.0
139,quadrants,spatial2_direct,0.05147949978709221,12.883656816736544,0.14978043306497035,,0.03905562683939934,0.06390336900949478,9.332064728328017,3.6416851008676123,2,0,fixed_direct,0.0,0.5,1.0,1.0
139,quadrants,global_discrete,0.10645312070846558,9.72841602552569,-0.7581469626153561,,0.0013413906563073397,0.211564838886261,9.332064728328017,0.02462252331758465,2,0,one_coordinate_pass,0.9999999403953552,0.9999999403953552,0.8000000715255737,0.8000000715255737
