image_id,condition,method_a,method_b,mse_a_minus_b
1353,clean,global_direct,spatial2_discrete,0.0
1353,clean,global_direct,global_ttt,0.0
1353,clean,global_direct,spatial2_ttt,0.0
1353,clean,spatial2_direct,global_discrete,0.0
1353,clean,spatial2_direct,spatial2_discrete,0.0
1353,clean,spatial2_direct,global_ttt,0.0
1353,clean,spatial2_direct,spatial2_ttt,0.0
1353,clean,global_discrete,spatial2_discrete,0.0
1353,clean,global_discrete,global_ttt,0.0
1353,clean,global_discrete,spatial2_ttt,0.0
1353,clean,spatial2_discrete,global_ttt,0.0
1353,clean,spatial2_discrete,spatial2_ttt,0.0
1353,clean,global_ttt,spatial2_ttt,0.0
1353,homogeneous_bright,identity,global_direct,0.0
1353,homogeneous_bright,identity,spatial2_direct,0.0
1353,homogeneous_bright,identity,global_discrete,0.0
1353,homogeneous_bright,identity,spatial2_discrete,0.0
1353,homogeneous_bright,identity,global_ttt,0.0
1353,homogeneous_bright,identity,spatial2_ttt,0.0
1353,homogeneous_bright,global_direct,spatial2_direct,0.0
1353,homogeneous_bright,global_direct,global_discrete,0.0
1353,homogeneous_bright,global_direct,spatial2_discrete,0.0
1353,homogeneous_bright,global_direct,global_ttt,0.0
1353,homogeneous_bright,global_direct,spatial2_ttt,0.0
1353,homogeneous_bright,spatial2_direct,global_discrete,0.0
1353,homogeneous_bright,spatial2_direct,spatial2_discrete,0.0
1353,homogeneous_bright,spatial2_direct,global_ttt,0.0
1353,homogeneous_bright,spatial2_direct,spatial2_ttt,0.0
1353,homogeneous_bright,global_discrete,spatial2_discrete,0.0
1353,homogeneous_bright,global_discrete,global_ttt,0.0
1353,homogeneous_bright,global_discrete,spatial2_ttt,0.0
1353,homogeneous_bright,spatial2_discrete,global_ttt,0.0
1353,homogeneous_bright,spatial2_discrete,spatial2_ttt,0.0
1353,homogeneous_bright,global_ttt,spatial2_ttt,0.0
1353,homogeneous_dark,identity,global_direct,0.011550289578735828
1353,homogeneous_dark,identity,spatial2_direct,0.009709689766168594
1353,homogeneous_dark,identity,global_discrete,0.026170832570642233
1353,homogeneous_dark,identity,spatial2_discrete,0.022281084209680557
1353,homogeneous_dark,identity,global_ttt,0.019320880994200706
1353,homogeneous_dark,identity,spatial2_ttt,0.018959645181894302
1353,homogeneous_dark,global_direct,spatial2_direct,-0.001840599812567234
1353,homogeneous_dark,global_direct,global_discrete,0.014620542991906404
