index,low,identity_psnr,identity_ssim,T026_psnr,T026_ssim,T036_psnr,T036_ssim,T062_psnr,T062_ssim,delta_psnr_vs_T036,delta_psnr_vs_T026,delta_ssim_vs_T036
0,Train/Low/low00167.png,8.610336680007965,0.2894117665005753,16.770728094100033,0.7378128770386407,18.49349001280084,0.7076181901475809,18.180095393822036,0.6594837266820938,-0.31339461897880483,1.4093672997220033,-0.04813446346548711
1,Train/Low/low00598.png,8.384219286651549,0.13307268319470908,12.866100747139914,0.4497767729815929,15.428024535385559,0.4316354608971287,21.75437507902583,0.4258559213528695,6.326350543640272,8.888274331885917,-0.0057795395442591935
2,Train/Low/low00617.png,9.10063966753233,0.17273767043100807,13.950901538358703,0.4940841945471336,16.426598917634948,0.46873914773570874,23.74641637639231,0.4983903088246409,7.319817458757363,9.795514838033608,0.029651161088932176
3,Train/Low/low00230.png,7.498500084201139,0.27638326738925306,11.603040565372261,0.5891273042833134,12.686827596823369,0.576089462040629,12.756748357935452,0.5206694915153867,0.06992076111208334,1.153707792563191,-0.05541997052524239
4,Train/Low/low00022.png,6.10100201487281,0.18717675849225004,11.792000345564531,0.5964882749693434,14.920436190521954,0.5928918945957665,23.109857078097246,0.6458294897318348,8.189420887575292,11.317856732532714,0.05293759513606833
5,Train/Low/low00516.png,12.060276711810118,0.20018572660787157,15.310103660515049,0.5159542845504549,16.014155470127108,0.5045390315585737,23.366034547636303,0.5912375872684613,7.351879077509196,8.055930887121255,0.0866985557098876
6,Train/Low/low00454.png,9.804294271711937,0.12298715352354947,9.388835946190152,0.11181341156487135,9.42445666511065,0.09997398323249454,12.496691215343766,0.05833041477074151,3.072234550233116,3.107855269153614,-0.04164356846175303
7,Train/Low/low00037.png,6.337618458965716,0.027900282532001296,7.63681290225441,0.1404641156759009,8.176002026943404,0.1644984251160554,10.271226446841315,0.25981531348774634,2.09522441989791,2.634413544586905,0.09531688837169094
8,Train/Low/low00159.png,7.144122825527914,0.060183192473858706,9.2408379104223,0.24251622259946684,10.858599330133089,0.2574168721583513,12.99706876799275,0.30941985875633976,2.138469437859662,3.7562308575704506,0.052002986597988465
9,Train/Low/low00215.png,7.7949047953053725,0.2483593821387821,14.837148088302708,0.6871532246294145,17.379209824903413,0.6474958035314566,23.283024763641173,0.6321663421364841,5.90381493873776,8.445876675338464,-0.015329461394972488
10,Train/Low/low00658.png,7.395052813628158,0.21936362675937235,13.709359040794373,0.6304986561402706,15.093179807249701,0.6118194586285295,21.358746537800908,0.5958340684625498,6.265566730551207,7.6493874970065345,-0.015985390165979663
11,Train/Low/low00153.png,7.639045690552415,0.061358512581475934,9.53835774867211,0.2262248098108231,10.574125454756594,0.23263005598821387,13.779857717176176,0.29120624669502543,3.2057322624195823,4.2414999685040655,0.058576190706811554
12,Train/Low/low00195.png,4.508234274653001,0.043509236027710854,6.394540421172072,0.20621017605994937,7.144730437696115,0.2252420198567734,8.768149387440495,0.2652373702792549,1.62341894974438,2.3736089662684225,0.039995350422481535
13,Train/Low/low00201.png,8.753992447502997,0.3443221536025141,19.982946843980084,0.7761414156698027,16.07304808254939,0.6685421355016344,17.788889627039268,0.6599217977183759,1.7158415444898765,-2.1940572169408163,-0.008620337783258547
14,Train/Low/low00223.png,6.342565357390258,0.02942904179641282,7.55440938213869,0.13432363879363088,7.877586812463731,0.14708524939344672,9.555192984148196,0.18494395093132698,1.6776061716844648,2.0007836020095056,0.03785870153788026
15,Train/Low/low00570.png,4.636425681165655,0.15737722762919226,8.798662743572672,0.43989822659747896,11.228318735017597,0.43272538768810925,16.261490763779168,0.45807930549719345,5.033172028761571,7.462828020206496,0.025353917809084192
16,Train/Low/low00320.png,9.177859621852381,0.1725135496157057,9.232344837121483,0.15570333791723934,8.53059054006723,0.15097185945181343,14.85948215804546,0.15041640730670508,6.328891617978229,5.627137320923977,-0.0005554521451083538
17,Train/Low/low00306.png,6.8229487928584405,0.08255565735119934,6.619308440313574,0.07550211333854664,7.01636487246129,0.0688556874378118,10.868743835568225,0.07071090849535194,3.8523789631069345,4.24943539525465,0.0018552210575401434
18,Train/Low/low00264.png,5.426593530293142,0.10343664279426018,9.282730306926345,0.4562124817380149,13.369502335859696,0.5546449650631108,15.270994418007156,0.5676876459927748,1.9014920821474597,5.988264111080811,0.013042680929663986
19,Train/Low/low00588.png,7.283363794920513,0.1731091241147973,10.529555138658475,0.5212934009829127,10.692929055084978,0.48665952757352854,15.712178621731956,0.47167107620330573,5.0192495666469785,5.182623483073481,-0.01498845137022281
20,Train/Low/low00005.png,7.420848779426093,0.18825958648125388,14.26144229446674,0.720257711102667,18.09860211528061,0.7733447800374597,23.71629839913281,0.7819884658329055,5.617696283852201,9.45485610466607,0.008643685795445832
21,Train/Low/low00099.png,9.416645241748087,0.1402510777927077,14.383750718369278,0.4564608180156347,18.829895461786663,0.513863446226353,23.303907302526916,0.5007100834732122,4.474011840740253,8.920156584157638,-0.01315336275314083
22,Train/Low/low00309.png,7.794394519469758,0.09904313196654703,7.650752575438324,0.0930450639984753,8.052308858765347,0.0915245393519108,11.862605649810892,0.07622554552059708,3.8102967910455448,4.211853074372567,-0.01529899383131371
23,Train/Low/low00284.png,8.21855329432166,0.09897916453854143,7.639076630115504,0.09566537421489225,8.19929709625367,0.09119501314348381,13.046089294086203,0.0567361400002459,4.846792197832533,5.407012663970699,-0.034458873143237916
24,Train/Low/low00346.png,11.241170513180002,0.14597474560121015,11.307372550563642,0.15539598471572175,11.158131067245113,0.15395954688616598,13.41223420819729,0.05918055715445823,2.254103140952177,2.1048616576336485,-0.09477898973170774
25,Train/Low/low00568.png,5.415913668048278,0.1509978818015288,10.770664071181368,0.4943322075545257,14.682167371760675,0.5197144713610712,19.079040532691064,0.5172471471783137,4.396873160930388,8.308376461509695,-0.0024673241827575243
26,Train/Low/low00300.png,8.698946301616187,0.10512444393255282,9.537748458674342,0.09980606134604333,9.384253520276113,0.1074860087024861,12.520151756662315,0.06734005669180546,3.1358982363862022,2.9824032979879735,-0.04014595201068065
27,Train/Low/low00227.png,5.679897510694849,0.19796758411893756,10.350428588154381,0.5900509224057897,14.44502822621594,0.6146739215470446,22.336552023250533,0.6247840626055634,7.891523797034592,11.986123435096152,0.010110141058518818
28,Train/Low/low00258.png,8.788173619297181,0.23900036145912126,16.34416268173719,0.7354140967973744,19.012779265143635,0.7296531423549351,19.507898592855675,0.6823236446110038,0.4951193277120396,3.1637359111184864,-0.04732949774393125
29,Train/Low/low00624.png,6.5732593457079505,0.23884160444687258,12.997466975981231,0.6574830938308486,16.195929733820297,0.6696889178367559,22.53006927850229,0.6390144242946365,6.334139544681992,9.532602302521058,-0.030674493542119374
30,Train/Low/low00687.png,6.210498535331512,0.08843517846160556,9.701838038957396,0.423962859806077,12.814521264294667,0.5035458079375599,15.337930208186158,0.5288778661798226,2.523408943891491,5.636092169228762,0.0253320582422627
31,Train/Low/low00149.png,5.411836316925964,0.03886055222958848,7.073949084319442,0.15413910332620487,8.121861382010946,0.17409251386987593,9.461334485729486,0.23187767969256087,1.3394731037185394,2.387385401410044,0.05778516582268495
32,Train/Low/low00210.png,5.272723333323057,0.19072931479865188,10.831524122441154,0.6496316413539183,15.825327381592388,0.6469489210597376,18.818472305751158,0.6404501832045738,2.99314492415877,7.986948183310004,-0.00649873785516375
33,Train/Low/low00569.png,8.245634785596273,0.20642019495685784,16.075672487774323,0.5087803779728409,16.96400611446188,0.4744364832572084,17.446805592462795,0.42706631473672824,0.4827994780009135,1.3711331046884716,-0.04737016852048015
34,Train/Low/low00217.png,4.699282083927798,0.04384365115626205,6.030683070237477,0.16561719476555092,6.427316431763116,0.1661047963946454,8.158398214416344,0.17830934070429208,1.731081782653228,2.1277151441788673,0.012204544309646681
35,Train/Low/low00014.png,5.321379225179371,0.18264118633893964,9.409364027981063,0.5579338711571604,12.785418120246568,0.6044842191983145,19.800477642041994,0.609724010999962,7.0150595217954255,10.39111361406093,0.005239791801647464
36,Train/Low/low00259.png,6.87355704733839,0.13748093714789075,13.05634751788375,0.613753001276623,18.347280377771085,0.6421109383526936,21.850512325179437,0.6426298293425824,3.503231947408352,8.794164807295687,0.0005188909898887761
37,Train/Low/low00078.png,7.81920129255152,0.13678544363833614,11.380485193056968,0.4281398064199573,13.78293411231311,0.4483709647391093,22.197084944879897,0.5759067306981539,8.414150832566786,10.81659975182293,0.1275357659590446
38,Train/Low/low00127.png,5.79074607145491,0.15150398205711346,10.583066300013261,0.536715617242923,14.674200538768671,0.4967435886842751,17.47318402388213,0.5325216769939087,2.7989834851134585,6.890117723868869,0.03577808830963364
39,Train/Low/low00642.png,5.640560094742888,0.2481235973906087,11.77033897028947,0.6287490640590983,14.784216020140022,0.6479276968937123,21.50283909907683,0.6545960216971483,6.718623078936808,9.73250012878736,0.006668324803435932
40,Train/Low/low00539.png,7.461072874459667,0.1508181353614021,13.681609772063293,0.5873205887542603,16.797025219201583,0.5655290834248795,22.724905892185305,0.5797639509031295,5.927880672983722,9.043296120122012,0.01423486747824998
41,Train/Low/low00571.png,5.979698909126014,0.2605196553221129,12.582622197355589,0.5725636223727243,14.61505710724104,0.544265529020414,21.053517160273962,0.5470406232222881,6.438460053032923,8.470894962918374,0.002775094201874051
42,Train/Low/low00243.png,7.057668197796842,0.27564765815195874,15.90695619535197,0.7782018229026056,18.281282302884353,0.7595359255185842,22.246652057498988,0.7449581334641505,3.9653697546146347,6.339695862147018,-0.014577792054433658
43,Train/Low/low00450.png,23.132714875844812,0.9277268347610969,11.39731426259175,0.7014132636609841,10.508470072701147,0.6803472820527562,8.82338204427043,0.5829221464353334,-1.6850880284307177,-2.573932218321321,-0.09742513561742283
44,Train/Low/low00339.png,9.17583756855301,0.11415792365185223,9.270216253879408,0.1088403708431483,9.27396809972786,0.1067386803638432,11.402920210306773,0.05015027013394645,2.128952110578913,2.132703956427365,-0.056588410229896746
45,Train/Low/low00106.png,5.364477762850184,0.12555434987318437,7.101851472682523,0.3490684887136679,7.43318809975953,0.3492104441116621,10.261519127296452,0.4447639328891731,2.8283310275369224,3.159667654613929,0.09555348877751102
46,Train/Low/low00513.png,7.712805919094969,0.09483708715115004,10.479847318433196,0.35876775503636793,12.205859151021283,0.4380065869400118,14.487752875906807,0.5063726745533653,2.281893724885524,4.007905557473611,0.0683660876133535
47,Train/Low/low00114.png,3.686008168338563,0.05019754580662287,5.025441963414505,0.18784348941395992,5.554499683210619,0.20058008433911576,7.601614548461468,0.2604971777471996,2.0471148652508493,2.5761725850469626,0.05991709340808385
48,Train/Low/low00137.png,5.064092860792833,0.04852507571997021,6.3460407945835176,0.18245884260697276,6.629567189757825,0.18930970594263535,9.339465781276102,0.24344686760772205,2.709898591518277,2.9934249866925846,0.0541371616650867
49,Train/Low/low00365.png,11.02762596542031,0.2194317714597523,11.994337524089973,0.22211556461895618,10.838892077575617,0.20425953858134008,12.18769013739795,0.16275618692688906,1.3487980598223341,0.1933526133079777,-0.041503351654451015
50,Train/Low/low00337.png,9.441374569095819,0.09896648412610966,9.107469472482459,0.08806049608105213,9.300802776246988,0.08495301990289134,12.794108193127713,0.06387738681074358,3.493305416880725,3.686638720645254,-0.021075633092147758
51,Train/Low/low00289.png,7.36568569369128,0.09161453757026748,6.878383900831966,0.08820602148203253,7.334132449752308,0.08420020185411463,10.270354064679497,0.0705395200828851,2.936221614927189,3.391970163847531,-0.013660681771229533
