index,step,step_fraction,objective_progress,one_step_progress,luma_mean,luma_std_population,luma_ge_098,luma_le_002,luma_forward_gradient_ratio,rgb_absolute_change,raw_l2,raw_max_abs,target,safe
0,0,0.0,0.0,0.0,0.055772135914432,0.03570953567036496,0.0,0.17814166666666667,0.9999999148639989,5.262331493819753e-09,0.0,0.0,-0.28367069644287035,1
0,1,0.037037037037037035,0.029828583077216357,0.029828583077216357,0.06060043873744955,0.03846401982070335,0.0,0.15967916666666668,1.0743738623926864,0.005095649652776127,0.08999999364217152,0.030000001192092896,-0.13241807929832738,1
0,2,0.07407407407407407,0.061354540129816636,0.03152595705260027,0.06577043318529514,0.04143747781247377,0.0,0.14395833333333333,1.1529985794146496,0.01054490229873724,0.1800558615783088,0.060033366084098816,0.02880817331009311,1
0,3,0.1111111111111111,0.09456659827561137,0.03321205814579473,0.07129411243013926,0.04464160061316405,0.0,0.12847916666666667,1.2359350461380845,0.01635962109695409,0.2702598177154271,0.09013207256793976,0.19988687917688175,1
0,4,0.14814814814814814,0.12942181320149787,0.0348552149258865,0.07718018121409963,0.04808597339078202,0.0,0.114925,1.3231988372706636,0.022548208150529537,0.3606703633921028,0.12032084167003632,0.38039446784178743,1
0,5,0.18518518518518517,0.16585482903097298,0.03643301582947511,0.08343471383620091,0.05177828663678923,0.0,0.10362916666666667,1.4147676131015252,0.02911631139915553,0.4513355353954888,0.15062201023101807,0.5695660198960404,1
0,6,0.2222222222222222,0.20377438909869347,0.0379195600677205,0.09006099919440909,0.05572406083117995,0.0,0.09238333333333333,1.5105793185994325,0.03606668139610556,0.5422947393872446,0.18105535209178925,0.7662211731615738,1
0,7,0.25925925925925924,0.24306266494558385,0.039288275846890375,0.09705899184432117,0.05992620713749174,0.0,0.08324166666666667,1.6105314676501643,0.04339861045895054,0.6335783779459989,0.21163751184940338,0.9686710083870906,1
0,8,0.2962962962962963,0.28357659832862075,0.0405139333830369,0.10442502842641274,0.06438467740338906,0.0,0.07469166666666667,1.714470540247859,0.05110765556334324,0.7252071521093363,0.24238146841526031,1.1746295563051916,1
0,9,0.3333333333333333,0.32514655921104857,0.0415699608824278,0.11215138976383444,0.06909605308119095,0.0,0.067425,1.82220197883255,0.05918519567782383,0.8171911568876382,0.2732958197593689,1.3811283536893058,1
0,10,0.37037037037037035,0.3675786271790129,0.042432067967964344,0.12022596047903299,0.07405322361005381,0.0,0.06116666666666667,1.9334773245537347,0.06761809692880877,0.9095290841805893,0.3043842017650604,1.5844562072700974,1
0,11,0.4074074074074074,0.41065499404449607,0.04307636686548318,0.1286320035245975,0.07924511734093766,0.0,0.054337500000000004,2.047996286948029,0.07638849276090365,1.002207401815317,0.33564460277557373,1.780146383462034,1
0,12,0.4444444444444444,0.4541410764971746,0.04348608245267856,0.13734804807568726,0.08465655541716288,0.0,0.050145833333333334,2.1654109333652305,0.0854736815602137,1.095199583777237,0.3670686185359955,1.9630384386034567,1
0,13,0.48148148148148145,0.4977856503053978,0.04364457380822318,0.1463477011958188,0.09026807769267302,0.0,0.04627916666666667,2.2853318430968814,0.09484594821289713,1.1884654774070218,0.39864084124565125,2.127438840448473,1
0,14,0.5185185185185185,0.5413292378773404,0.04354358757194263,0.15559995236943552,0.09605609726237925,0.0,0.04289166666666667,2.4073218185229783,0.10447288906025093,1.2819508278737275,0.43033817410469055,2.2674144503604037,1
0,15,0.5555555555555556,0.584508067189867,0.04317882931252663,0.16506921850349232,0.10199301948100857,0.0,0.03834166666666667,2.5309035346301965,0.11431746830556659,1.3755869669516163,0.462129145860672,2.377206017624344,1
0,16,0.5925925925925926,0.6270617212443034,0.04255365405443635,0.17471584718811464,0.10804749170219806,0.0,0.03529583333333333,2.6555644695630902,0.12433854047011701,1.4692907165875095,0.49397343397140503,2.4517511845092237,1
0,17,0.6296296296296297,0.6687401836178047,0.04167846237350132,0.18449670764619375,0.11418513544755979,0.0,0.03294166666666667,2.780771756305514,0.13449147248323295,1.562964727844736,0.5258213877677917,2.4872095520320006,1
0,18,0.6666666666666666,0.7093103472108104,0.04057016359300574,0.19436598538673655,0.12036915967850129,0.0,0.0318875,2.9059911011258017,0.1447289684826023,1.656497987783564,0.5576139688491821,2.481411059827151,1
0,19,0.7037037037037037,0.7485600402763977,0.03924969306558717,0.2042754686129452,0.12655994242404428,0.0,0.02987916666666667,3.0306365414424334,0.15500130526147485,1.7497668323791553,0.5892825126647949,2.43424936270131,1
0,20,0.7407407407407407,0.7863048706701816,0.037744830393783915,0.21417555047854792,0.13271624169202312,0.0,0.028358333333333336,3.154125529361102,0.16525736492641802,1.842636159367143,0.6207491159439087,2.347705945742044,1
0,21,0.7777777777777778,0.8223926544826046,0.036087783812422995,0.2240164421401472,0.13879696374897144,0.0,0.0242125,3.275904887309876,0.1754457648921066,1.9349613256584148,0.6520254611968994,2.2255840744061306,1
