[autodl] run_id=20260915-023649-ttie-t035a-oracle
[autodl] started_at=2026-09-15T02:36:53+08:00
/home/wenchang/anaconda3/envs/python3.12-tk2-2.3/lib/python3.12/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
REFERENCE_ORACLE_ONLY 72/100 winner=T026A_selected step=500 seconds=12.27
REFERENCE_ORACLE_ONLY 73/100 winner=T026A_selected step=500 seconds=12.36
REFERENCE_ORACLE_ONLY 74/100 winner=identity step=500 seconds=12.38
REFERENCE_ORACLE_ONLY 75/100 winner=T026A_selected step=371 seconds=12.31
REFERENCE_ORACLE_ONLY 76/100 winner=identity step=203 seconds=12.35
REFERENCE_ORACLE_ONLY 77/100 winner=T026A_selected step=500 seconds=12.38
REFERENCE_ORACLE_ONLY 78/100 winner=T026A_selected step=500 seconds=11.95
REFERENCE_ORACLE_ONLY 79/100 winner=T026A_selected step=421 seconds=12.34
REFERENCE_ORACLE_ONLY 80/100 winner=T026A_selected step=500 seconds=12.39
REFERENCE_ORACLE_ONLY 81/100 winner=identity step=500 seconds=12.11
REFERENCE_ORACLE_ONLY 82/100 winner=T026A_selected step=500 seconds=12.35
REFERENCE_ORACLE_ONLY 83/100 winner=T026A_selected step=500 seconds=11.94
REFERENCE_ORACLE_ONLY 84/100 winner=T026A_selected step=500 seconds=12.35
REFERENCE_ORACLE_ONLY 85/100 winner=T026A_selected step=500 seconds=12.37
REFERENCE_ORACLE_ONLY 86/100 winner=T026A_selected step=500 seconds=11.83
REFERENCE_ORACLE_ONLY 87/100 winner=identity step=500 seconds=12.09
REFERENCE_ORACLE_ONLY 88/100 winner=T026A_selected step=500 seconds=10.88
REFERENCE_ORACLE_ONLY 89/100 winner=T026A_selected step=472 seconds=12.16
REFERENCE_ORACLE_ONLY 90/100 winner=T026A_selected step=500 seconds=12.25
REFERENCE_ORACLE_ONLY 91/100 winner=identity step=500 seconds=11.94
REFERENCE_ORACLE_ONLY 92/100 winner=T026A_selected step=443 seconds=12.54
REFERENCE_ORACLE_ONLY 93/100 winner=T026A_selected step=500 seconds=12.30
REFERENCE_ORACLE_ONLY 94/100 winner=T026A_selected step=500 seconds=12.18
REFERENCE_ORACLE_ONLY 95/100 winner=T026A_selected step=500 seconds=12.19
REFERENCE_ORACLE_ONLY 96/100 winner=T026A_selected step=500 seconds=12.08
REFERENCE_ORACLE_ONLY 97/100 winner=T026A_selected step=500 seconds=12.06
REFERENCE_ORACLE_ONLY 98/100 winner=identity step=500 seconds=12.38
REFERENCE_ORACLE_ONLY 99/100 winner=T026A_selected step=500 seconds=11.97
REFERENCE_ORACLE_ONLY 100/100 winner=T026A_selected step=500 seconds=12.28
FROZEN100oracleoutputs/200histories; PSNR/SSIM not yet computed
common-mode explains most WB gain {'count': 100, 'mean': 2.0930311111438713, 'median': 1.5620560810430515, 'min': -0.000341969339043402, 'max': 9.659105901028301, 'p05': 1.5167542131422356e-05, 'p95': 5.647296272375807}
[autodl] finished_at=2026-09-15T02:57:57+08:00
[autodl] exit_code=0
