tau,mean_delta_psnr,median_delta_psnr,regressions_t026,worst_delta_t026,mean_delta_ssim,eligible
0.0032124968211802627,-3.55928765129267,-3.2134990383363147,81,-11.630579820933118,-0.19751720614107737,False
0.003212496821180263,-3.5565766497226785,-3.2134990383363147,81,-11.630579820933118,-0.19715194993057522,False
0.0032237769372844044,-3.553544428928318,-3.2134990383363147,81,-11.630579820933118,-0.19677061739303045,False
0.0032384552182936873,-3.550152515635182,-3.2134990383363147,81,-11.630579820933118,-0.1963776673424651,False
0.0032569624228990074,-3.5463566601422842,-3.2134990383363147,81,-11.630579820933118,-0.1959786842365537,False
0.003279720279594532,-3.5421054842611785,-3.2134990383363147,81,-11.630579820933118,-0.19558028808389893,False
0.003307203422258334,-3.537338657648846,-3.2134990383363147,81,-11.630579820933118,-0.19518993240291066,False
0.0033399070526909493,-3.531984539065691,-3.2134990383363147,81,-11.630579820933118,-0.19481559494580758,False
0.003378362080466327,-3.5259567946230983,-3.2134990383363147,81,-11.630579820933118,-0.19446535335426088,False
0.0034231323530307563,-3.5191496390427663,-3.2134990383363147,81,-11.630579820933118,-0.19414688724393528,False
0.003474802202214949,-3.5114309732074425,-3.2134990383363147,81,-11.630579820933118,-0.19386695270538776,False
0.003533949175130234,-3.502631838217779,-3.2134990383363147,81,-11.630579820933118,-0.19363088474187454,False
0.003601173441520783,-3.4925303051319956,-3.021384755498348,81,-11.630579820933118,-0.19344220681583468,False
0.003677112640463102,-3.4808253352960907,-3.021384755498348,81,-11.630579820933118,-0.1933023949563235,False
0.0037621082831962712,-3.467092827730535,-3.021384755498348,81,-11.630579820933118,-0.19321082653404062,False
0.0038564812583363555,-3.450709371044671,-3.021384755498348,81,-11.630579820933118,-0.19316492560623072,False
0.003960400366235941,-3.430716478709997,-3.021384755498348,80,-11.630579820933118,-0.19316046897280084,False
0.004073694297747532,-3.405603537449414,-3.021384755498348,80,-11.630579820933118,-0.19319200547689366,False
0.004195932275138158,-3.3732861849962177,-3.021384755498348,80,-11.630579820933118,-0.19325332587328298,False
0.004326431986130535,-3.3353297667938966,-3.021384755498348,80,-11.630579820933118,-0.1933379222629813,False
0.004464086142628166,-3.323506776485359,-3.021384755498348,80,-11.630579820933118,-0.1934393861313667,False
0.004607330225095627,-3.3544270456158927,-3.021384755498348,80,-11.630579820933118,-0.19355172398013498,False
0.004754385471250941,-3.38603827527089,-3.021384755498348,80,-11.630579820933118,-0.19366956662629678,False
0.0049030399876836455,-3.4099309831011535,-3.021384755498348,80,-11.630579820933118,-0.19378830337971142,False
0.004948716020279646,-3.4062791253666713,-3.021384755498348,80,-11.630579820933118,-0.1932724988964384,False
0.004948957051476787,-3.4062791253666713,-3.021384755498348,80,-11.630579820933118,-0.1932724988964384,False
0.004951327170311416,-3.4041344989428834,-3.021384755498348,80,-11.630579820933118,-0.19299234194800838,False
0.00495719059029032,-3.401748708318969,-3.021384755498348,80,-11.630579820933118,-0.19270104501600138,False
0.004966682128548121,-3.399097553476695,-3.021384755498348,80,-11.630579820933118,-0.19240245754625387,False
0.004980181090268132,-3.396154355570088,-3.021384755498348,80,-11.630579820933118,-0.1921012645377793,False
0.004998086161348278,-3.3928896159991844,-3.021384755498348,80,-11.630579820933118,-0.19180288551815913,False
0.005020795052979991,-3.389270596775792,-3.021384755498348,80,-11.630579820933118,-0.19151328782647487,False
0.005048709065816172,-3.3852608259675527,-3.021384755498348,80,-11.630579820933118,-0.1912387259994674,False
0.005050869774244298,-3.403308353670383,-3.021384755498348,80,-11.630579820933118,-0.19135456125100242,False
0.005082216193377529,-3.3988670043228013,-3.021384755498348,80,-11.630579820933118,-0.19110123648056127,False
0.005121691560271293,-3.3939481068012043,-3.021384755498348,80,-11.630579820933118,-0.19087491819964714,False
0.005167505404327422,-3.388499567312979,-3.021384755498348,80,-11.630579820933118,-0.19068055184502633,False
0.005195475906292737,-3.402475597624626,-3.021384755498348,80,-11.630579820933118,-0.1907905103766672,False
0.005219974340019154,-3.3964381398637125,-3.021384755498348,80,-11.630579820933118,-0.19063186916397204,False
0.0052793396683193045,-3.3897438298919296,-3.021384755498348,79,-11.630579820933118,-0.1905112788592891,False
0.005334451294075839,-3.4007903119610945,-3.021384755498348,80,-11.630579820933118,-0.19061316422480976,False
0.005345808847287925,-3.3933612117227203,-3.021384755498348,80,-11.630579820933118,-0.1905313593173632,False
0.0054195822240770365,-3.3851081017854936,-2.973315827575521,80,-11.630579820933118,-0.1904874783693212,False
0.005465528193901576,-3.3939606804024414,-2.973315827575521,80,-11.630579820933118,-0.19057980217876225,False
0.005500726157274814,-3.3847828368165693,-2.973315827575521,80,-11.630579820933118,-0.19057151895078087,False
0.005589180372025809,-3.3745715479351874,-2.973315827575521,80,-11.630579820933118,-0.19059531893195594,False
0.005636251269469013,-3.371663741469474,-2.973315827575521,80,-11.630579820933118,-0.19022504193471207,False
0.005651657102073233,-3.3683950202524335,-2.973315827575521,80,-11.630579820933118,-0.1898393732876119,False
0.005671833913037855,-3.364718538294052,-2.973315827575521,80,-11.630579820933118,-0.1894441290666418,False
0.005684745046835682,-3.353369273141539,-2.973315827575521,80,-11.630579820933118,-0.18949563148874088,False
0.005697357762169031,-3.349230371106921,-2.898467081767158,80,-11.630579820933118,-0.18909810206463526,False
0.0057288192930067,-3.3445645181868757,-2.687974091845991,80,-11.630579820933118,-0.18870686771709105,False
0.005766828855494541,-3.3392945718988667,-2.687974091845991,80,-11.630579820933118,-0.18833143467469282,False
