index,low,method,step,psnr,ssim,learned_energy
0,Train/Low/low00353.png,baseline,0,11.901470861653724,0.14518743000959397,-2.8107850551605225
0,Train/Low/low00353.png,baseline,1,11.900926043404663,0.14593598231413232,-2.848142147064209
0,Train/Low/low00353.png,baseline,2,11.876362902923766,0.14630399202236868,-2.8738646507263184
0,Train/Low/low00353.png,baseline,3,11.854480281393112,0.14615958528174372,-2.897554397583008
0,Train/Low/low00353.png,baseline,4,11.855031952810776,0.14540560112237286,-2.918100595474243
0,Train/Low/low00353.png,baseline,5,11.871748682230834,0.14414707171355598,-2.9357614517211914
0,Train/Low/low00353.png,baseline,6,11.895015180037928,0.14254112572600214,-2.9492990970611572
0,Train/Low/low00353.png,baseline,7,11.915197321225284,0.14087903528452372,-2.9568030834198
0,Train/Low/low00353.png,baseline,8,11.93658828022099,0.1391800949678513,-2.9605190753936768
0,Train/Low/low00353.png,baseline,9,11.957854805641686,0.13760626139193877,-2.9636640548706055
0,Train/Low/low00353.png,baseline,10,11.9775264264454,0.13625502382657936,-2.968055248260498
0,Train/Low/low00353.png,baseline,11,11.995188501190864,0.13515753381198964,-2.9742698669433594
0,Train/Low/low00353.png,baseline,12,12.01599640877463,0.1346079821036366,-2.9808788299560547
0,Train/Low/low00353.png,baseline,13,12.042367571272937,0.13466366700129095,-2.9860105514526367
0,Train/Low/low00353.png,baseline,14,12.06869468430746,0.13485139873008511,-2.989993095397949
0,Train/Low/low00353.png,baseline,15,12.095560066795736,0.13512339368707282,-2.9926111698150635
0,Train/Low/low00353.png,baseline,16,12.122976038628083,0.13543152839616418,-2.993946075439453
0,Train/Low/low00353.png,baseline,17,12.150409384295017,0.1357362412601299,-2.9941954612731934
0,Train/Low/low00353.png,baseline,18,12.1769187343595,0.13601172790040336,-2.9936540126800537
0,Train/Low/low00353.png,baseline,19,12.201369667871253,0.13624713536948063,-2.9926815032958984
0,Train/Low/low00353.png,baseline,20,12.222716075570615,0.1364442046241287,-2.9917025566101074
0,Train/Low/low00353.png,baseline,21,12.240237596282455,0.13661035244379427,-2.9910616874694824
0,Train/Low/low00353.png,baseline,22,12.253512272537638,0.1367485051270082,-2.990832805633545
0,Train/Low/low00353.png,baseline,23,12.262348711245426,0.13685489820982935,-2.990975856781006
0,Train/Low/low00353.png,baseline,24,12.266880730899905,0.136923121787993,-2.991415023803711
0,Train/Low/low00353.png,baseline,25,12.267650394352776,0.13694636463521032,-2.9920895099639893
0,Train/Low/low00353.png,baseline,26,12.265556066786413,0.13691790697116138,-2.9928910732269287
0,Train/Low/low00353.png,baseline,27,12.261551993461907,0.13683316608586465,-2.9937095642089844
0,Train/Low/low00353.png,baseline,28,12.256372988604753,0.13669374593705158,-2.9944512844085693
0,Train/Low/low00353.png,baseline,29,12.250432174179897,0.13651003899420308,-2.9950177669525146
0,Train/Low/low00353.png,baseline,30,12.243876874512914,0.13630066149071104,-2.995347499847412
0,Train/Low/low00353.png,baseline,31,12.236732473303347,0.1360898015327401,-2.9954099655151367
0,Train/Low/low00353.png,baseline,32,12.2290407565694,0.1359029466839334,-2.995258092880249
0,Train/Low/low00353.png,baseline,33,12.220948681089272,0.13576193980484344,-2.995004653930664
0,Train/Low/low00353.png,baseline,34,12.212758883614072,0.13568083495946318,-2.994779109954834
0,Train/Low/low00353.png,baseline,35,12.20490118439201,0.13566308265156451,-2.994659662246704
0,Train/Low/low00353.png,baseline,36,12.197861409222604,0.13570155996522856,-2.9946799278259277
0,Train/Low/low00353.png,baseline,37,12.192110487064912,0.13578191271077816,-2.9948110580444336
0,Train/Low/low00353.png,baseline,38,12.188014000552759,0.13588778369979676,-2.995013475418091
0,Train/Low/low00353.png,baseline,39,12.18572890707079,0.1360053245345292,-2.995246410369873
0,Train/Low/low00353.png,baseline,40,12.185141558096594,0.13612575407426075,-2.9954733848571777
0,Train/Low/low00353.png,common,0,11.901470861653724,0.14518743000959397,-2.8107850551605225
0,Train/Low/low00353.png,common,1,11.937159102690488,0.1452088306067481,-2.8534915447235107
0,Train/Low/low00353.png,common,2,11.945873053719358,0.14500774397129784,-2.8834421634674072
0,Train/Low/low00353.png,common,3,11.95227297690263,0.14438249237155976,-2.9097819328308105
0,Train/Low/low00353.png,common,4,11.9740326742263,0.1431935948385835,-2.931020736694336
0,Train/Low/low00353.png,common,5,12.002996233500962,0.1415628339256153,-2.9471330642700195
0,Train/Low/low00353.png,common,6,12.030723873713455,0.13965572683641617,-2.9594085216522217
0,Train/Low/low00353.png,common,7,12.049787780248078,0.13776035884258764,-2.968318462371826
0,Train/Low/low00353.png,common,8,12.06036329496104,0.13599053490536003,-2.976227045059204
0,Train/Low/low00353.png,common,9,12.064537829490858,0.1343902793501107,-2.98530650138855
0,Train/Low/low00353.png,common,10,12.062762276426797,0.13302463194118658,-2.9961516857147217
0,Train/Low/low00353.png,common,11,12.05598197372722,0.13189409570206756,-3.0089468955993652
0,Train/Low/low00353.png,common,12,12.049302748574096,0.13119734952024603,-3.021878719329834
0,Train/Low/low00353.png,common,13,12.048253040485983,0.13116081475068075,-3.032083511352539
0,Train/Low/low00353.png,common,14,12.048397742563768,0.13130532792058786,-3.0411458015441895
0,Train/Low/low00353.png,common,15,12.05074808115115,0.1315982640285916,-3.048977851867676
0,Train/Low/low00353.png,common,16,12.050293793591802,0.13187315384182233,-3.0553231239318848
0,Train/Low/low00353.png,common,17,12.04693668754249,0.13210978274281318,-3.0605411529541016
0,Train/Low/low00353.png,common,18,12.04052273560884,0.1322978517431785,-3.065121650695801
0,Train/Low/low00353.png,common,19,12.030986516532185,0.1324340466159427,-3.069530963897705
0,Train/Low/low00353.png,common,20,12.018475069745758,0.1325181154315742,-3.074150562286377
0,Train/Low/low00353.png,common,21,12.00342177739884,0.13254861276522267,-3.0791702270507812
0,Train/Low/low00353.png,common,22,11.986550633893618,0.13252134411120498,-3.0845367908477783
0,Train/Low/low00353.png,common,23,11.9688087090082,0.13243096894604528,-3.0899853706359863
0,Train/Low/low00353.png,common,24,11.95119816386942,0.13227332081432375,-3.095233201980591
0,Train/Low/low00353.png,common,25,11.93459439871085,0.13204879889674648,-3.100026845932007
0,Train/Low/low00353.png,common,26,11.919634372130183,0.13176717628128512,-3.1041159629821777
0,Train/Low/low00353.png,common,27,11.90667187089446,0.13145004609925118,-3.107329845428467
0,Train/Low/low00353.png,common,28,11.895796811603091,0.13112846508836803,-3.1096973419189453
0,Train/Low/low00353.png,common,29,11.886902091428562,0.1308363135048975,-3.1114890575408936
0,Train/Low/low00353.png,common,30,11.879785678498651,0.13060188680853446,-3.1130869388580322
0,Train/Low/low00353.png,common,31,11.874257246083278,0.13044127213559212,-3.1148176193237305
0,Train/Low/low00353.png,common,32,11.870212396485789,0.1303555861724236,-3.1168155670166016
0,Train/Low/low00353.png,common,33,11.867645571822564,0.13033239640951436,-3.119016170501709
0,Train/Low/low00353.png,common,34,11.866599905010279,0.1303504065822561,-3.121223211288452
0,Train/Low/low00353.png,common,35,11.86707905191994,0.13038519919638805,-3.12320876121521
0,Train/Low/low00353.png,common,36,11.868958432052505,0.13041475444160508,-3.1248114109039307
0,Train/Low/low00353.png,common,37,11.871944492372686,0.13042305094093415,-3.1259851455688477
0,Train/Low/low00353.png,common,38,11.875604509780358,0.1304012314914746,-3.1268057823181152
0,Train/Low/low00353.png,common,39,11.879456737880753,0.13034655175695053,-3.127410411834717
0,Train/Low/low00353.png,common,40,11.883085059765627,0.13025996108516497,-3.12795352935791
1,Train/Low/low00277.png,baseline,0,9.416516428742836,0.10936096003237991,-3.358893394470215
1,Train/Low/low00277.png,baseline,1,9.267328680958691,0.10964798075439164,-3.517099142074585
1,Train/Low/low00277.png,baseline,2,9.14097664374236,0.10950278707049203,-3.6345345973968506
1,Train/Low/low00277.png,baseline,3,9.038018730066199,0.1090366597144721,-3.723116636276245
1,Train/Low/low00277.png,baseline,4,8.952773141651257,0.10832566374343726,-3.7864460945129395
1,Train/Low/low00277.png,baseline,5,8.876516053888553,0.10742441142778833,-3.8257968425750732
1,Train/Low/low00277.png,baseline,6,8.80813308829734,0.10636923350875416,-3.8463692665100098
1,Train/Low/low00277.png,baseline,7,8.750310241706522,0.1052135246949358,-3.856415033340454
1,Train/Low/low00277.png,baseline,8,8.702897114437244,0.10403634344024344,-3.8615570068359375
1,Train/Low/low00277.png,baseline,9,8.666098327313893,0.10292010867139818,-3.8647892475128174
