index,low,baseline_selected_step,common_selected_step,baseline_selected_psnr,common_selected_psnr,common_reference_best_psnr_step,common_reference_best_psnr,psnr_headroom,prior_psnr_loss,earlier_psnr_reaches_baseline,earliest_psnr_rescue_step,baseline_selected_ssim,common_selected_ssim,common_reference_best_ssim_step,common_reference_best_ssim,ssim_headroom,prior_ssim_loss,earlier_ssim_reaches_baseline,earliest_ssim_rescue_step
0,Train/Low/low00353.png,40,40,12.185141558096594,11.883085059765627,9,12.064537829490858,0.18145276972523128,True,False,,0.13612575407426075,0.13025996108516497,1,0.1452088306067481,0.014948869521583141,True,True,0
1,Train/Low/low00277.png,37,40,9.10915034555986,9.057781775344399,0,9.416516428742836,0.3587346533984377,True,True,0,0.10449994442718188,0.0971572047223369,1,0.10944337570496439,0.012286170982627492,True,True,0
2,Train/Low/low00488.png,40,40,14.54841121257896,15.631130065177947,40,15.631130065177947,0.0,False,True,27,0.5462285787311408,0.5437211634472449,40,0.5437211634472449,0.0,True,False,
3,Train/Low/low00301.png,40,40,8.647248144923264,9.112550116905073,40,9.112550116905073,0.0,False,True,22,0.0859665937391699,0.08601970091292428,8,0.09359816584778356,0.00757846493485928,False,True,0
4,Train/Low/low00341.png,38,40,10.845309283720965,10.72830583554662,0,10.931137210990693,0.2028313754440738,True,True,0,0.14829274216673893,0.1481139930502572,9,0.15165383012151812,0.0035398370712609317,True,True,6
5,Train/Low/low00283.png,40,40,11.159828941564173,11.276497108378845,4,11.59301124355515,0.31651413517630544,False,True,0,0.18362276183607812,0.19567485609071134,0,0.22612965287933642,0.030454796788625088,False,True,0
6,Train/Low/low00079.png,40,40,9.961169288526726,14.887879335033237,33,15.20311339397445,0.31523405894121304,False,True,16,0.6126928254223849,0.6653463813808574,26,0.6718392422636659,0.006492860882808427,False,True,15
7,Train/Low/low00013.png,40,40,8.044479711314759,12.892810486751591,40,12.892810486751591,0.0,False,True,18,0.5193684497091732,0.5917691121416723,40,0.5917691121416723,0.0,False,True,21
8,Train/Low/low00198.png,40,40,19.29324291771075,17.682477764877415,26,20.744347867487228,3.061870102609813,True,True,23,0.7970432750756323,0.7285124025697223,21,0.7698256104006921,0.04131320783096981,True,False,
9,Train/Low/low00232.png,40,40,16.17870565445416,21.655620933551255,34,22.097009803290327,0.44138886973907177,False,True,17,0.657327814919943,0.655360811227957,40,0.655360811227957,0.0,True,False,
10,Train/Low/low00582.png,40,40,8.079229181254732,8.203170840844717,34,8.224648262230975,0.0214774213862583,False,True,23,0.14409111767915578,0.13272385476098564,34,0.13381089206279698,0.0010870373018113388,True,False,
11,Train/Low/low00190.png,40,40,8.895620550277405,10.548332215446132,40,10.548332215446132,0.0,False,True,19,0.28547265269186267,0.3361266824442745,40,0.3361266824442745,0.0,False,True,20
12,Train/Low/low00372.png,40,40,7.86442018222981,7.0659355848256205,38,7.066092460225977,0.00015687540035624892,True,False,,0.07965820475725367,0.08675392215151834,31,0.08795452848194012,0.0012006063304217801,False,True,0
