step,psnr_mean,psnr_median,psnr_p95,ssim_mean,ssim_median,ssim_p95
0,8.10972255641183,7.60016142776525,12.006335043409736,0.16002283422866373,0.1389772605625006,0.3088970005633388
1,8.178103889250291,7.677578701357088,12.174193418837893,0.17021748893198624,0.14590940559394178,0.3374627471092778
2,8.256271849078678,7.777410276855569,12.534040042844767,0.18073301440741854,0.15345779501054224,0.36705535896061203
3,8.344716028989371,7.957480177335141,12.444286124877356,0.19154284092172616,0.16058499727406986,0.39746523639508896
4,8.44377593543078,8.083755966295879,12.231294364493401,0.20259116837643149,0.1726077751232688,0.42844429595756045
5,8.55381714710531,8.184378519250298,12.27616513374426,0.2138013079807254,0.18426460176071469,0.4597036309420201
6,8.67485273348986,8.212726152705915,12.318815777819196,0.2250928819463067,0.19754612831040136,0.49081740956466374
7,8.806908169347707,8.2609651807277,12.487619605552538,0.2364068714010489,0.20154256121558953,0.5213155109223309
8,8.948327879671385,8.370724108388458,12.63803135619475,0.2476317164455071,0.21281286025222743,0.5508832000309113
9,9.064168922158924,8.401738385461938,12.858774610143277,0.25660203243969176,0.22185938849054015,0.5726239641170068
10,9.137577257681103,8.485981715342891,12.93913396030672,0.26277805035957064,0.2294349324619312,0.5873820484197254
11,9.209181180244613,8.568927474279825,13.12339966996736,0.2687830850034385,0.23644976118440433,0.6013873325999797
12,9.230595621228115,8.606932249597847,13.15411932935481,0.2703749611922929,0.23864493809058213,0.6037546823262202
13,9.23553677083967,8.599680436724352,13.15411932935481,0.2706571217739371,0.23881815083321423,0.6037546823262202
14,9.239761071769118,8.591579945797124,13.15411932935481,0.2709162571550701,0.239090118580856,0.6037546823262202
15,9.243308704485948,8.585078768148225,13.15411932935481,0.2711639948744871,0.2394313685932138,0.6037546823262202
16,9.245776515476651,8.58096586367206,13.15411932935481,0.2713747540517432,0.24012614898700002,0.6037546823262202
17,9.247222010104888,8.57943544220148,13.15411932935481,0.2715541774298204,0.24092972441622304,0.6037546823262202
18,9.248220536843634,8.580208895238634,13.15411932935481,0.2717209493908146,0.24174952674719907,0.6037546823262202
19,9.248260029951574,8.582731058372183,13.15411932935481,0.27187003638813867,0.24150571121954,0.6037546823262202
20,9.248209999431028,8.586296913866367,13.15411932935481,0.27201945341712136,0.24111446752880206,0.6037546823262202
21,9.248403260694994,8.593009717092201,13.183391067335354,0.27214417520578565,0.2411412730781789,0.6037546823262202
22,9.249075515312216,8.606791283537937,13.190423510193746,0.27227319912427234,0.2413339202751236,0.6037546823262202
23,9.250230191589422,8.620557176589223,13.19286676975421,0.2724081200375304,0.24150684410401874,0.6037546823262202
24,9.251418521875546,8.633460184829287,13.195514229410067,0.27253665456452747,0.2416691409779786,0.6037546823262202
25,9.25307465023217,8.64457913042214,13.198241046477639,0.2726482113752583,0.24183188770460087,0.6037546823262202
26,9.255249218768759,8.653054875875469,13.200918156931182,0.2727375901018255,0.24200696596499843,0.6037546823262202
27,9.25789725410174,8.658300796091574,13.203430119375412,0.2728032818402275,0.24220507952355608,0.6037546823262202
28,9.260983117544438,8.660155667304728,13.205693883911051,0.27286371782235996,0.24243343400136477,0.6037546823262202
29,9.26426588581183,8.658867748298512,13.207671522809365,0.2729135955216948,0.24269405903843064,0.6037546823262202
30,9.26738115353071,8.654957461321636,13.20937145286597,0.27295310993962657,0.2429554127053529,0.6037546823262202
31,9.270037461902417,8.650271988473385,13.210839663620314,0.2729661817761324,0.24283994475339216,0.6037546823262202
32,9.272288436757815,8.658469528294104,13.212145127831132,0.27297220490341917,0.2426952244013475,0.6037546823262202
33,9.273968523546182,8.666900703302279,13.213364973376768,0.27296248288610603,0.24254837947003421,0.6037546823262202
34,9.274593939720779,8.675669568608559,13.212689559635066,0.27293501938863945,0.2424251526909944,0.6037546823262202
35,9.274624949638895,8.681082931347024,13.211195223186829,0.2729097685922963,0.2423454829323644,0.6037546823262202
36,9.274529020450215,8.680050636069184,13.210164675116369,0.27289052391209256,0.24231999822150574,0.6037546823262202
37,9.274295026536937,8.679179139726337,13.209704179224289,0.2728769408388081,0.24234873268877605,0.6037546823262202
38,9.274149639134254,8.678532318249564,13.209825171398125,0.2728710822093195,0.24242199106948592,0.6037546823262202
39,9.274213689192193,8.678141096649327,13.21045575131175,0.2728740238998677,0.2425228407666345,0.6037546823262202
40,9.27429424936766,8.67800528775271,13.211457726755507,0.2728850655811959,0.24263053936978307,0.6037546823262202
