index,bank_index,state_index,image_id,state_name,condition,bank_directory,energy,gradient_norm,gradient_sha256,gradient_dtype,finite,active_regions,inactive_regions,active_rgb,inactive_rgb,inactive_output_changes,raw_sha256,y0_sha256
1037,61,10,38210,sobol_02,homogeneous_dark,training_bank/061,-2.004866361618042,0.1424244455525252,71188c37d5dd33573d75b38866f2ef094a7f734b46f0baca5d4f4b4e43a3c06c,torch.float32,True,1,3,114720,344160,0,9ff113dc20fd75e9b2cc866fbb8eb01023d660d975778bd1436379ca25a5a8d9,96dc5fb9b08f9b133124345e1830e56c5078d685b4d67d48f922f2d51cba3099
1038,61,11,38210,sobol_03,homogeneous_dark,training_bank/061,-2.152703285217285,0.08523220022271223,df5b90acefbc7156986281b2841a112d01892c87492e609c82fb151b4367fa2a,torch.float32,True,1,3,114720,344160,0,6473c30f3375d53a8276dce8574711247a6e9fa984a9b8ae57ec3d287f383312,116709a5b7f3dd9c91746cc9ca71e602c681ecaf6ea20d841e8b83aafc07a698
1039,61,12,38210,sobol_04,homogeneous_dark,training_bank/061,-2.112037420272827,0.09831111545478899,5ff6651a8b5fa9aae14ff053c4da9b7dd3dabd73cf42094d76d87b6f8111a3be,torch.float32,True,1,3,114720,344160,0,82344dae7d0fb777f04314c0db54cf722bc44bff9ec693a7d90b853fcd30f702,9bbc6dc2be6bfb6821288a83299022c48de730b536affce0f220417849a6cdff
1040,61,13,38210,sobol_05,homogeneous_dark,training_bank/061,-1.9752845764160156,0.15871317450348071,4ed2d5047228d44277af1d65d1df8dd706b688208bf5240395f6a9ad9128ffc5,torch.float32,True,1,3,114720,344160,0,6add72150584b69fcbdfa2557cc64738bd27bad735c0b1138d94403729ba51c6,ab7d2e7f48b08ef3858947aca0198473e1d8e14033ccc454e7108ab5942ca19d
1041,61,14,38210,sobol_06,homogeneous_dark,training_bank/061,-2.0377187728881836,0.12691904571710502,5eedd227ab64b453844dce20bcd3fc25f219bf9e1e95c42b6d47d6ba2d577297,torch.float32,True,1,3,114720,344160,0,51c6470e78c2db1f9436fcb166fc4f6d0afdc9f7399df1500c226b53003778d5,83ad1e3552ef97e4a8527acce40ea1620dd0baf5656e8c82c9427f61da321f32
1042,61,15,38210,sobol_07,homogeneous_dark,training_bank/061,-2.1950464248657227,0.07296984992088021,32cbe585cb21e5d5bec3cb7676fbf093978af1555c788de5fa204f23e80d0da8,torch.float32,True,1,3,114720,344160,0,742448fec6329f8953997378445f80497c9f067c2c1e0c800960f70a8d954f83,286f3bdad0675999dccd511b1e9e3090c6feaede11562b18eac9e9ed1856ad55
1043,61,16,38210,sobol_08,homogeneous_dark,training_bank/061,-1.9342684745788574,0.11353941881378368,ed436b4230638c3e59ffdf649585f2b450687fdee489b9b5c117e9266ab379a3,torch.float32,True,1,3,114720,344160,0,b9c8c87e47e9b195b443f9ae6269c8be70574966a496c65252c22e5dd746d09c,f49701ecd462ce17728fc916d1d60567bebe9e87e0d3888a352690121e82e0a2
1044,61,17,38210,sobol_09,homogeneous_dark,training_bank/061,-2.3662171363830566,0.044549906150310015,6b6e2a3d2ddea25a782b9b1e63e8563a1c459a47d99e3fc5de294f91d6a605ec,torch.float32,True,1,3,114720,344160,0,76debaefe8f200fdc744bc098a6840844d7557d5f578ce5a74096286dd2dbb74,88565ac1bf4c69c1608c8a0f2d68ddce9c4f3f884e85be84990b8adcd71d6ade
1045,61,18,38210,sobol_10,homogeneous_dark,training_bank/061,-2.310121536254883,0.06921285106813493,5a24a63ad26275ba5e79b85698f6527c2078a9ccc899591479eab15f584e9b76,torch.float32,True,1,3,114720,344160,0,f5fe153848b6f963e8b53431c227b846c3d2e26e7bc12f24a111c0163fa4170d,223291e688fe80145ba521acdfa334a2fcf557e70553f7aaaed3e80d48d09396
1046,61,19,38210,sobol_11,homogeneous_dark,training_bank/061,-1.8536626100540161,0.14064798332725972,975da6a57ed27c9bb4416c8a5cf2ec9f26c10bbe2b0794372fa5b5fb155a258c,torch.float32,True,1,3,114720,344160,0,8881cec075218f71b771497ab5c5619a541c4e2650dbd08e235654f93d9d9ca3,f4189ab33d051663c2c64e0e02496734d2c5191a5bd77cc9307c362ffadfc0eb
