seed,family,condition,model,loss_before,loss_after,mse,psnr_db,left_mse,right_mse,top_left_mse,top_right_mse,bottom_left_mse,bottom_right_mse,input_output_drift_mse,identity_drift_mse,parameter_count,input_clipping_fraction,output_clipping_fraction,all_finite,field_variance_exposure_ev,field_variance_gamma,field_variance_wb_r,field_variance_wb_g,field_variance_wb_b,field_variance_contrast
7,midtone,clean,identity,3.8747643316128233e-07,3.8747643316128233e-07,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True,0.0,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17
7,midtone,clean,global,3.8747643316128233e-07,1.9080744095845148e-07,0.0005589060019701719,32.52661226564932,0.0005588879575952888,0.0005589237553067505,0.0005583688034676015,0.0005584782920777798,0.0005594075191766024,0.0005593689274974167,0.0005589060019701719,0.0005589060019701719,6,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0
7,midtone,clean,uniform96,3.8747643316128233e-07,1.9187034183687501e-07,0.0005514442455023527,32.584983909204645,0.0005514267249964178,0.0005514613585546613,0.0005509143811650574,0.0005510224727913737,0.0005519392434507608,0.000551900826394558,0.0005514442455023527,0.0005514442455023527,96,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0
7,midtone,clean,spatial1,3.8747643316128233e-07,1.9080744095845148e-07,0.0005589060019701719,32.52661226564932,0.0005588879575952888,0.0005589237553067505,0.0005583688034676015,0.0005584782920777798,0.0005594075191766024,0.0005593689274974167,0.0005589060019701719,0.0005589060019701719,6,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0
7,midtone,clean,spatial2,3.8747643316128233e-07,1.9154028052525973e-07,0.0005488198366947472,32.60570199758711,0.000519517925567925,0.0005781219806522131,0.0005352171137928963,0.000494292180519551,0.00050381850451231,0.0006619517807848752,0.0005488198366947472,0.0005488198366947472,24,0.0,0.0,True,1.0787768820137928e-05,8.819049230229207e-06,1.801486075536017e-05,1.667143356333367e-05,1.8153791776949706e-05,0.0003317490012200667
7,midtone,clean,spatial4,3.8747643316128233e-07,1.6119470558351168e-07,0.0005297650350257754,32.75916708923781,0.0005401737289503217,0.0005193568067625165,0.0005758330808021128,0.0005020161624997854,0.000504514086060226,0.000536697159986943,0.0005297650350257754,0.0005297650350257754,96,0.0,0.0,True,6.268309233605808e-05,1.2440502559014994e-05,6.037061132016985e-05,6.0827656870750046e-05,5.9629143528658306e-05,0.0003192242256761847
7,midtone,clean,spatial8,3.8747643316128233e-07,5.695364535540648e-08,0.00047424001968465745,33.240018000101784,0.00047934940084815025,0.0004691306676249951,0.0005004166159778833,0.0004590824246406555,0.00045828227302990854,0.00047917882329784334,0.00047424001968465745,0.00047424001968465745,384,0.0,0.0,True,5.7231596446380974e-05,1.564496584536558e-05,4.217132658066725e-05,3.988129489816084e-05,3.938067991692034e-05,0.0004602208535296834
7,midtone,homogeneous_dark,identity,0.07562145590782166,0.07562145590782166,0.07758688926696777,11.102116601859535,0.07760515809059143,0.07756856083869934,0.07757063210010529,0.07759546488523483,0.07763979583978653,0.07754168659448624,0.0,,0,0.0,0.0,True,0.0,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17
7,midtone,homogeneous_dark,global,0.07562146335840225,1.2949978156484576e-07,0.00113502680324018,29.449938826454286,0.001135071157477796,0.0011349822161719203,0.0011338999029248953,0.0011341618373990059,0.0011362425284460187,0.001135803759098053,0.07573673129081726,,6,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0
7,midtone,homogeneous_dark,uniform96,0.07562146335840225,1.2949801941886108e-07,0.0011350251734256744,29.449945062606172,0.0011350696440786123,0.0011349809356033802,0.0011338985059410334,0.0011341602075845003,0.0011362405493855476,0.0011358014307916164,0.07573673129081726,,96,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0
