index,low,step,psnr,ssim,delta_psnr_T026,delta_psnr_T036,delta_ssim_T036,safety_reachable,oracle_selected
0,Train/Low/low00167.png,0,8.610336492734683,0.2894117418440864,-8.16039160136535,-9.883153520066157,-0.41820644830349446,False,False
0,Train/Low/low00167.png,1,8.866910257696732,0.32314283393355786,-7.9038178364033005,-9.626579755104109,-0.384475356214023,False,False
0,Train/Low/low00167.png,2,9.152758280778336,0.3588299639136359,-7.617969813321697,-9.340731732022505,-0.34878822623394495,False,False
0,Train/Low/low00167.png,3,9.471168211625976,0.39610632344952174,-7.299559882474057,-9.022321801174865,-0.31151186669805914,False,False
0,Train/Low/low00167.png,4,9.825833745868245,0.4344896506518654,-6.944894348231788,-8.667656266932596,-0.27312853949571547,False,False
0,Train/Low/low00167.png,5,10.220945897913174,0.4733890584675714,-6.549782196186859,-8.272544114887667,-0.23422913168000947,False,False
0,Train/Low/low00167.png,6,10.661294699135858,0.5121202934339126,-6.109433394964174,-7.8321953136649825,-0.19549789671366824,False,False
0,Train/Low/low00167.png,7,11.152378554642794,0.5499298776894771,-5.618349539457238,-7.341111458158046,-0.15768831245810377,False,False
0,Train/Low/low00167.png,8,11.700547590071048,0.5860303695123456,-5.0701805040289845,-6.7929424227297925,-0.12158782063523532,True,False
0,Train/Low/low00167.png,9,12.31316827363753,0.6196446682368403,-4.457559820462503,-6.180321739163311,-0.08797352191074059,True,False
0,Train/Low/low00167.png,10,12.998805923682884,0.6500508420892657,-3.771922170417149,-5.494684089117957,-0.057567348058315204,True,False
0,Train/Low/low00167.png,11,13.767402654968263,0.6766321896728786,-3.0033254391317694,-4.7260873578325775,-0.030986000474702236,True,False
0,Train/Low/low00167.png,12,14.630375582811858,0.6989209601153925,-2.1403525112881745,-3.8631144299889826,-0.008697230032188363,True,False
0,Train/Low/low00167.png,13,15.600405172037943,0.7166293703838,-1.1703229220620894,-2.8930848407628975,0.009011180236219163,True,False
0,Train/Low/low00167.png,14,16.690411259841685,0.7296669683912682,-0.08031683425834757,-1.8030787529591557,0.02204877824368734,True,False
0,Train/Low/low00167.png,15,17.910319690379858,0.7381408177242729,1.1395915962798249,-0.5831703224209832,0.030522627576691996,True,False
0,Train/Low/low00167.png,16,19.258308532433812,0.742336700642375,2.4875804383337794,0.7648185196329713,0.03471851049479413,True,False
0,Train/Low/low00167.png,17,20.699069421689444,0.7426888561775563,3.9283413275894112,2.205579408888603,0.03507066602997544,True,False
0,Train/Low/low00167.png,18,22.117601598000924,0.7397423879133951,5.346873503900891,3.624111585200083,0.03212419776581421,True,False
0,Train/Low/low00167.png,19,23.259399846395908,0.7341536393990491,6.4886717522958755,4.765909833595067,0.026535449251468224,True,False
0,Train/Low/low00167.png,20,23.786924870350084,0.7267259871239445,7.016196776250052,5.293434857549244,0.019107796976363667,True,True
0,Train/Low/low00167.png,21,23.552346095412886,0.7180508408388127,6.781618001312854,5.058856082612046,0.010432650691231782,True,False
0,Train/Low/low00167.png,22,22.764895787792327,0.7086238357109136,5.994167693692294,4.271405774991486,0.0010056455633327133,True,False
0,Train/Low/low00167.png,23,21.7494919278193,0.6986992001196975,4.978763833719267,3.2560019150184587,-0.008918990027883322,True,False
0,Train/Low/low00167.png,24,20.716846753649634,0.688528620558704,3.946118659549601,2.223356740848793,-0.019089569588876865,True,False
