index,low,step,psnr,ssim,delta_psnr_T026,delta_psnr_T036,delta_ssim_T036,safety_reachable,oracle_selected
66,Train/Low/low00221.png,0,10.058356559107398,0.38151497396273043,-12.774503167811776,-4.763567711245138,-0.2832648194844078,False,False
66,Train/Low/low00221.png,1,10.371385972744369,0.4212341464785892,-12.461473754174806,-4.450538297608167,-0.24354564696854902,False,False
66,Train/Low/low00221.png,2,10.72382370372954,0.4623895677620073,-12.109036023189635,-4.098100566622996,-0.20239022568513093,False,False
66,Train/Low/low00221.png,3,11.12104934345231,0.5043663702292188,-11.711810383466865,-3.7008749269002266,-0.1604134232179194,False,False
66,Train/Low/low00221.png,4,11.569440761186886,0.5464115008267509,-11.263418965732289,-3.25248350916565,-0.11836829262038728,False,False
66,Train/Low/low00221.png,5,12.076666199611994,0.5876538351697252,-10.75619352730718,-2.745258070740542,-0.07712595827741298,False,False
66,Train/Low/low00221.png,6,12.652097334158274,0.6271414346015177,-10.1807623927609,-2.169826936194262,-0.0376383588456205,False,False
66,Train/Low/low00221.png,7,13.307390609878853,0.6638939810594797,-9.525469117040322,-1.514533660473683,-0.0008858123876585022,False,False
66,Train/Low/low00221.png,8,14.057353152431837,0.6969687619892952,-8.775506574487338,-0.7645711179206991,0.032188968542157026,False,False
66,Train/Low/low00221.png,9,14.921272329543582,0.7255336332886161,-7.911587397375593,0.09934805919104583,0.060753839841477864,False,False
66,Train/Low/low00221.png,10,15.925030509198841,0.7489361179655653,-6.907829217720334,1.1031062388463049,0.08415632451842703,False,False
66,Train/Low/low00221.png,11,17.104606856728896,0.7667571742072454,-5.728252870190278,2.2826825863763602,0.1019773807601072,False,False
66,Train/Low/low00221.png,12,18.5121589002058,0.7788463345383528,-4.320700826713374,3.690234629853265,0.11406654109121461,True,False
66,Train/Low/low00221.png,13,20.22706994385082,0.7853270168372286,-2.605789783068353,5.405145673498286,0.12054722339009039,True,False
66,Train/Low/low00221.png,14,22.37642898741276,0.7865736946801499,-0.4564307395064162,7.554504717060222,0.1217939012330117,True,False
66,Train/Low/low00221.png,15,25.167379215167106,0.783167889005088,2.334519488247931,10.34545494481457,0.11838809555794982,True,False
66,Train/Low/low00221.png,16,28.84481765634764,0.77583737775114,6.0119579294284655,14.022893385995104,0.11105758430400181,True,False
66,Train/Low/low00221.png,17,32.35376265085387,0.7653928868797559,9.520902923934692,17.53183838050133,0.1006130934326177,True,True
66,Train/Low/low00221.png,18,30.722846962118307,0.7526626584541245,7.889987235199133,15.900922691765771,0.08788286500698628,True,False
66,Train/Low/low00221.png,19,26.91343391754556,0.7384443158107729,4.080574190626386,12.091509647193025,0.07366452236363463,True,False
66,Train/Low/low00221.png,20,23.92853000007139,0.7234646486742087,1.0956702731522157,9.106605729718854,0.058684855227070454,True,False
66,Train/Low/low00221.png,21,21.707512803883937,0.7083545736372169,-1.125346923035238,6.885588533531401,0.043574780190078655,True,False
66,Train/Low/low00221.png,22,20.00678548566021,0.6936370567784218,-2.826074241258965,5.184861215307674,0.028857263331283578,True,False
66,Train/Low/low00221.png,23,18.670786176535092,0.6797239973908641,-4.162073550384083,3.848861906182556,0.014944203943725864,True,False
66,Train/Low/low00221.png,24,17.60412716673313,0.6669223825425524,-5.228732560186046,2.7822028963805927,0.0021425890954142046,True,False
66,Train/Low/low00221.png,25,16.745562222428674,0.6554445659943463,-6.0872975044905,1.9236379520761382,-0.009335227452791917,False,False
66,Train/Low/low00221.png,26,16.05358149568012,0.645422092461162,-6.779278231239054,1.2316572253275844,-0.019357700985976223,False,False
66,Train/Low/low00221.png,27,15.498684380821397,0.6369195473599025,-7.334175346097778,0.6767601104688605,-0.027860246087235696,False,False
