image_id,split,condition,view,d_dark,d_bright,input_clipping_fraction,plus_d_dark,plus_d_bright,minus_d_dark,minus_d_bright,r_dark,r_bright,plus_clipping_fraction,minus_clipping_fraction,type,active,target,absolute_type,absolute_active
60090,calibration,clean,full,-0.019009113311767578,-0.01531749963760376,0.0017368285916745663,-0.018645435571670532,-0.010753631591796875,-0.007019832730293274,-0.018493101000785828,-0.0003636777400970459,0.003175601363182068,0.11145403236150742,0.0008436639327555895,bright,False,-0.018493101000785828,bright,False
60090,calibration,clean,top_left,-0.049121126532554626,-0.010995030403137207,0.002995867980644107,-0.04810003936290741,-0.012395113706588745,-0.03156411647796631,-0.0123787522315979,-0.0010210871696472168,0.0013837218284606934,0.27141013741493225,0.0010330579243600368,bright,False,-0.0123787522315979,bright,False
60090,calibration,clean,top_right,-0.00033020973205566406,-0.014185026288032532,0.0008350551361218095,-0.00988200306892395,-0.009406298398971558,0.008644640445709229,-0.019058391451835632,0.009551793336868286,0.004873365163803101,0.06678719073534012,0.000654269999358803,dark,False,-0.00988200306892395,dark,False
60090,calibration,clean,bottom_left,-0.02001635730266571,-0.008006811141967773,0.002023071749135852,-0.01815919578075409,1.4990568161010742e-05,-0.009661898016929626,-0.013975381851196289,-0.001857161521911621,0.005968570709228516,0.043388430029153824,0.0011019284138455987,bright,True,-0.013975381851196289,bright,False
60090,calibration,clean,bottom_right,-0.016951024532318115,0.007491365075111389,0.0010933196172118187,-0.021077603101730347,0.010976344347000122,-0.011617332696914673,0.0020007044076919556,0.0041265785694122314,0.005490660667419434,0.06423037499189377,0.0005853994516655803,bright,False,0.0020007044076919556,bright,False
61268,calibration,clean,full,0.01728750765323639,-0.0008527487516403198,0.07096057385206223,0.01635582745075226,0.0032771527767181396,0.02893640100955963,-0.00334872305393219,0.0009316802024841309,0.00249597430229187,0.2593814730644226,0.006144323851913214,bright,False,-0.00334872305393219,dark,False
61268,calibration,clean,top_left,-0.01483297348022461,-0.02292311191558838,0.11052905023097992,-0.01902112364768982,-0.01835116744041443,0.005214124917984009,-0.020215898752212524,0.00418815016746521,-0.0027072131633758545,0.3409232497215271,0.008022130466997623,dark,False,-0.01902112364768982,dark,False
61268,calibration,clean,top_right,-0.010305970907211304,-0.012583509087562561,0.15600895881652832,-0.004940241575241089,-0.0013344734907150269,0.0016601085662841797,-0.00632023811340332,-0.005365729331970215,-0.006263270974159241,0.6512052416801453,0.0002152203960577026,dark,False,-0.004940241575241089,dark,False
61268,calibration,clean,bottom_left,0.03595058619976044,-0.008541762828826904,0.007062586955726147,0.026735201478004456,-0.0058522820472717285,0.042788565158843994,-0.009803861379623413,0.009215384721755981,0.0012620985507965088,0.018914246931672096,0.006492047104984522,dark,False,0.026735201478004456,dark,True
61268,calibration,clean,bottom_right,0.017277643084526062,-0.0025615841150283813,0.01014118455350399,0.006996661424636841,0.0009704679250717163,0.02440623939037323,-0.002318650484085083,0.010280981659889221,-0.00024293363094329834,0.02582644671201706,0.009857093915343285,dark,False,0.006996661424636841,dark,False
63047,calibration,clean,full,-0.03683300316333771,0.004818946123123169,0.023244863376021385,-0.040217623114585876,0.007051736116409302,-0.03141617774963379,0.0043566226959228516,0.003384619951248169,0.0004623234272003174,0.05351598188281059,0.022719750180840492,dark,False,-0.040217623114585876,bright,False
63047,calibration,clean,top_left,-0.024799242615699768,-0.002762243151664734,0.01343864481896162,-0.027505874633789062,0.0012588053941726685,-0.01669907569885254,-0.004677146673202515,0.0027066320180892944,0.0019149035215377808,0.09625686705112457,0.011698718182742596,dark,False,-0.027505874633789062,bright,False
63047,calibration,clean,top_right,-0.021427631378173828,-0.026509582996368408,0.004952185787260532,-0.0296851247549057,-0.02432158589363098,-0.013087555766105652,-0.028231024742126465,0.008257493376731873,0.0017214417457580566,0.03775045648217201,0.004610655829310417,dark,False,-0.0296851247549057,dark,False
63047,calibration,clean,bottom_left,-0.021930545568466187,0.03502655029296875,0.0726533904671669,-0.026870906352996826,0.03613576292991638,-0.017604932188987732,0.03350609540939331,0.00494036078453064,0.0015204548835754395,0.07609890401363373,0.07263049483299255,dark,False,-0.026870906352996826,bright,True
63047,calibration,clean,bottom_right,-0.02147287130355835,0.02347680926322937,0.0021516394335776567,-0.027318716049194336,0.02682971954345703,-0.014160767197608948,0.020002782344818115,0.005845844745635986,0.003474026918411255,0.004314662888646126,0.0021516394335776567,dark,False,-0.027318716049194336,bright,False
63154,calibration,clean,full,-0.08038049191236496,0.01424439251422882,9.98263931251131e-05,-0.08817505091428757,0.021892711520195007,-0.07302241027355194,0.010235995054244995,0.007794559001922607,0.004008397459983826,0.02596137300133705,0.0,dark,False,-0.08817505091428757,bright,False
63154,calibration,clean,top_left,-0.08012384176254272,-0.004335314035415649,6.944444612599909e-05,-0.08802038431167603,-0.001830458641052246,-0.06966112554073334,-0.004978269338607788,0.0078965425491333,0.0006429553031921387,0.0053645833395421505,0.0,dark,False,-0.08802038431167603,bright,False
63154,calibration,clean,top_right,-0.08073362708091736,-0.01153247058391571,1.7361111531499773e-05,-0.0883478969335556,-0.010257884860038757,-0.07333420217037201,-0.01255577802658081,0.007614269852638245,0.0010233074426651,0.0022916668094694614,0.0,dark,False,-0.0883478969335556,bright,False
63154,calibration,clean,bottom_left,-0.05883423984050751,-0.007734179496765137,0.0003124999930150807,-0.06726852059364319,0.004517734050750732,-0.043684303760528564,-0.009348705410957336,0.008434280753135681,0.0016145259141921997,0.06717882305383682,0.0,dark,False,-0.06726852059364319,bright,False
63154,calibration,clean,bottom_right,-0.04919935762882233,0.003271043300628662,0.0,-0.06858335435390472,0.0118330717086792,-0.034685611724853516,-0.0024857819080352783,0.019383996725082397,0.00575682520866394,0.029010416939854622,0.0,dark,True,-0.06858335435390472,bright,False
65074,calibration,clean,full,-0.012953415513038635,0.017166361212730408,0.01899370178580284,-0.009276166558265686,0.018376126885414124,-0.004304960370063782,0.010376989841461182,-0.0036772489547729492,0.006789371371269226,0.24956434965133667,0.002471532206982374,bright,True,0.010376989841461182,bright,False
65074,calibration,clean,top_left,-0.011053994297981262,0.010927841067314148,0.05870505049824715,-0.0029167234897613525,0.004406735301017761,-0.010773763060569763,0.009751901030540466,-0.00813727080821991,0.0011759400367736816,0.571784257888794,0.0,bright,False,0.009751901030540466,bright,False
65074,calibration,clean,top_right,-0.009419485926628113,-0.004762321710586548,0.00044951593736186624,-0.006551370024681091,-0.0015439391136169434,-0.0058404505252838135,-0.007063806056976318,-0.0028681159019470215,0.0023014843463897705,0.14141598343849182,0.0004322268650867045,bright,False,-0.007063806056976318,bright,False
65074,calibration,clean,bottom_left,0.00802050530910492,0.017878443002700806,0.01243973895907402,0.005512461066246033,0.022824421525001526,0.014070510864257812,0.012958869338035583,0.0025080442428588867,0.004919573664665222,0.14516185224056244,0.005036157090216875,bright,False,0.012958869338035583,bright,False
65074,calibration,clean,bottom_right,0.019396528601646423,0.013632923364639282,0.004467975348234177,0.0166701078414917,0.01926286518573761,0.02631238102912903,0.011878341436386108,0.002726420760154724,0.0017545819282531738,0.14077995717525482,0.004399104975163937,dark,False,0.0166701078414917,dark,False
65288,calibration,clean,full,-0.058953046798706055,0.029128387570381165,0.004762525670230389,-0.06244863569736481,0.031240791082382202,-0.05289824306964874,0.02605903148651123,0.0034955888986587524,0.003069356083869934,0.1176387369632721,0.003038013121113181,dark,False,-0.06244863569736481,bright,False
65288,calibration,clean,top_left,-0.02820543944835663,0.02935415506362915,0.005866457242518663,-0.0333525687456131,0.031966432929039,-0.019536003470420837,0.03119887411594391,0.00514712929725647,-0.0018447190523147583,0.0842050164937973,0.0038179915864020586,dark,False,-0.0333525687456131,bright,False
65288,calibration,clean,top_right,-0.04539474844932556,0.02397458255290985,0.010217013768851757,-0.04493999481201172,0.030225396156311035,-0.03596402704715729,0.023891344666481018,-0.0004547536373138428,8.323788642883301e-05,0.057083334773778915,0.006979166995733976,bright,False,0.023891344666481018,bright,False
65288,calibration,clean,bottom_left,-0.050745829939842224,0.018884167075157166,0.0007496512844227254,-0.040658533573150635,0.020044848322868347,-0.04634445905685425,0.014165222644805908,-0.01008729636669159,0.004718944430351257,0.30066245794296265,0.00041841002530418336,bright,False,0.014165222644805908,bright,False
65288,calibration,clean,bottom_right,-0.04634732007980347,0.0022359490394592285,0.00220486125908792,-0.05657229572534561,0.0021378248929977417,-0.037902265787124634,0.0008141696453094482,0.010224975645542145,0.0014217793941497803,0.02922743186354637,0.0009288194705732167,dark,False,-0.05657229572534561,bright,False
70229,calibration,clean,full,-0.010394230484962463,0.011897698044776917,0.0016470588743686676,-0.011856764554977417,0.010273396968841553,0.0021468549966812134,0.01852528750896454,0.0014625340700149536,-0.006627589464187622,0.14586764574050903,0.0002549019700381905,dark,False,-0.011856764554977417,bright,False
70229,calibration,clean,top_left,-0.02392178773880005,0.021986931562423706,0.0030070755165070295,-0.021269574761390686,0.024125859141349792,-0.018953397870063782,0.021323159337043762,-0.002652212977409363,0.0006637722253799438,0.14132271707057953,0.0,bright,False,0.021323159337043762,bright,False
70229,calibration,clean,top_right,-0.03181809186935425,-0.030336201190948486,0.001189072267152369,-0.037111759185791016,-0.027869611978530884,-0.014071226119995117,-0.02981826663017273,0.005293667316436768,-0.0005179345607757568,0.09426100552082062,0.0,dark,False,-0.037111759185791016,bright,False
70229,calibration,clean,bottom_left,-0.0038840025663375854,-0.010172456502914429,0.000997652648948133,-0.0014048367738723755,-0.011676892638206482,-5.015730857849121e-05,-0.01077975332736969,-0.00247916579246521,0.0006072968244552612,0.09280125796794891,0.000997652648948133,bright,False,-0.01077975332736969,dark,False
70229,calibration,clean,bottom_right,0.0064385682344436646,0.003446042537689209,0.0013986697886139154,0.0018688738346099854,-0.004682257771492004,0.010927155613899231,0.003501981496810913,0.004569694399833679,-5.59389591217041e-05,0.2548219859600067,1.9561815861379728e-05,dark,False,0.0018688738346099854,dark,False
71451,calibration,clean,full,0.007299482822418213,0.003288358449935913,0.012923299334943295,0.00020481646060943604,0.004411801695823669,0.014961376786231995,-0.002751454710960388,0.007094666361808777,0.006039813160896301,0.03315192088484764,0.011393961496651173,dark,False,0.00020481646060943604,dark,False
71451,calibration,clean,top_left,-0.00946737825870514,-0.025021076202392578,0.0012640450149774551,-0.016328170895576477,-0.02183474600315094,-0.002392500638961792,-0.026841744780540466,0.006860792636871338,0.0018206685781478882,0.012429775670170784,0.0002574906393419951,dark,False,-0.016328170895576477,dark,False
